Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2016,ANDREW BIRD,BA,70122,INTRO TO ACCOUNTING,2,Lect,38,66,58%,5.41,4.74,4.76,4.71,4.45,4.61,4.82,4.82,4.74,4.54
Fall,2016,THOMAS RUCHTI,BA,70122,INTRO TO ACCOUNTING,2,Lect,35,63,56%,6.41,4.4,4.49,4.54,3.6,4.29,4.46,4.14,4.2,4.06
Fall,2016,TIMOTHY SHIELDS,BA,70122,INTRO TO ACCOUNTING,3,Lect,16,29,55%,9.38,4,3.69,4,3.63,4,3.81,3.8,3.75,3.81
Summer,2016,NAM HO,BA,70122,INTRO TO ACCOUNTING,E,Lect,3,4,75%,11,4.33,4.67,4.67,3.33,4.67,5,5,4.67,5
Summer,2016,NAM HO,BA,70122,INTRO TO ACCOUNTING,U,Lect,6,10,60%,12,3.67,4.33,4.33,3.5,3.67,4.17,4.33,3.67,3.33
Spring,2016,STEPHEN VARGO,BA,70122,INTRO TO ACCOUNTING,W,Lect,24,32,75%,9.26,4.58,4.54,4.67,4.58,4.75,4.63,4.96,4.46,4.46
Spring,2016,STEPHEN VARGO,BA,70122,INTRO TO ACCOUNTING,X,Lect,20,29,69%,7.84,4.55,4.65,4.65,4.45,4.55,4.4,4.85,4.3,4.25
Spring,2016,ANTHONY STANTON,BA,70160,GRAPHIC MEDIA MGMT,A,Lect,30,57,53%,5.4,4.77,4.43,4.5,4.33,4.6,4.47,4.67,4.37,4.43
Fall,2016,ANTHONY STANTON,BA,70160,GRAPHIC MEDIA MGMT,A,Lect,21,50,42%,6.33,4.76,4.57,4.67,4.52,4.76,4.81,4.67,4.67,4.62
Spring,2016,ANTHONY STANTON,BA,70196,PUBLSHNG ON THE WWW,1,Lect,19,36,53%,6.17,4.63,4.74,4.68,4.53,4.32,4.32,4.42,4.37,4.37
Fall,2016,ANTHONY STANTON,BA,70196,PUBLSHNG ON THE WWW,A,Lect,9,25,36%,8.67,4.56,4.33,4.56,4,4.33,4.22,4.56,4.33,4.33
Spring,2016,MILTON COFIELD,BA,70201,PROFSSNL & SRVC PROJ,A,Lect,20,46,43%,4.68,3.1,3.4,3.65,3.1,3.4,3.4,3.8,3.2,3.05
Spring,2016,XIZHEN CAI,BA,70207,PROB & STAT BUS APPL,A,Lect,47,84,56%,7.33,3.89,4.13,4.06,3.51,3.66,3.74,4.32,3.54,3.66
Summer,2016,JEREMY KARP,BA,70207,PROB & STAT BUS APPL,S,Lect,3,4,75%,17,5,5,5,5,5,4.67,5,4.67,4.33
Fall,2016,AMAL HELU,BA,70207,PROB & STAT BUS APPL,W,Lect,23,37,62%,9.2,4.13,4.13,3.91,3.59,3.82,4,3.82,3.86,3.68
Spring,2016,REBECCA LESSEM,BA,70208,REGRESSION ANALYSIS,1,Lect,26,60,43%,7.44,3.73,3.92,3.96,3.5,3.73,3.73,4.23,3.38,3.42
Fall,2016,ANTON BADEV,BA,70208,REGRESSION ANALYSIS,1,Lect,21,28,75%,7.55,3.81,3.62,3.52,3,3.86,3.57,3.67,3.14,3.57
Spring,2016,REBECCA LESSEM,BA,70208,REGRESSION ANALYSIS,2,Lect,23,49,47%,6.57,3.74,3.7,3.65,3.59,3.96,3.65,4.39,3.48,3.3
Fall,2016,ANTON BADEV,BA,70208,REGRESSION ANALYSIS,2,Lect,40,59,68%,7.25,3.68,3.5,3.47,3.05,3.85,3.45,3.65,3.2,3.33
Summer,2016,ERICA VANSANT,BA,70208,REGRESSION ANALYSIS,U,Lect,9,9,100%,14.56,4.78,4.78,4.78,4.89,4.78,4.89,4.89,4.78,4.56
Spring,2016,JOHN GASPER,BA,70208,REGRESSION ANALYSIS,W,Lect,14,16,88%,11.23,4.57,4.5,4.5,4.07,4.36,4.71,5,4.5,4.29
Spring,2016,JOHN GASPER,BA,70208,REGRESSION ANALYSIS,X,Lect,21,21,100%,11.2,4.76,4.86,4.81,4.33,4.67,4.86,4.95,4.76,4.48
Spring,2016,MARK FICHMAN,BA,70311,ORGNZTN BEHAVIOR,A,Lect,20,36,56%,6.65,3.05,3.3,3.25,2.85,3.4,3.15,3.25,2.85,2.75
Fall,2016,SHIRLEY WANG,BA,70311,ORGNZTN BEHAVIOR,A,Lect,42,46,91%,6.14,4.29,4.26,4.21,4.4,4.36,4.4,4.48,4.31,4.19
Spring,2016,SHIRLEY WANG,BA,70311,ORGNZTN BEHAVIOR,B,Lect,16,38,42%,5.94,3.5,3.19,3.31,2.63,3.31,3.81,4.25,3.38,2.94
Fall,2016,SHIRLEY WANG,BA,70311,ORGNZTN BEHAVIOR,B,Lect,52,61,85%,5.82,4.58,4.54,4.44,4.33,4.42,4.63,4.73,4.58,4.44
Spring,2016,SHIRLEY WANG,BA,70311,ORGNZTN BEHAVIOR,C,Lect,21,55,38%,6.95,3.76,3.19,3.19,2.81,3.57,3.57,4.33,3.33,3.33
Fall,2016,BENJAMIN COLLIER,BA,70311,ORGNZTN BEHAVIOR,C,Lect,38,56,68%,6.18,4.47,4.53,4.53,4.24,4.55,4.53,4.61,4.53,4.47
Summer,2016,YING ZHANG,BA,70311,ORGNZTN BEHAVIOR,S,Lect,17,19,89%,9.06,4.41,4.06,4.35,4.18,4.24,4.35,4.82,4.24,4.12
Spring,2016,BENJAMIN COLLIER,BA,70311,ORGNZTN BEHAVIOR,W,Lect,21,24,88%,7.53,3.9,4.14,4.33,3.57,4.19,4.33,4.76,3.95,4
Fall,2016,STARLING HUNTER,BA,70311,ORGNZTN BEHAVIOR,W,Lect,21,28,75%,4.71,3.76,3.68,3.63,3.53,3.63,3.63,3.95,3.47,3.58
Spring,2016,LILY MORSE,BA,70321,NEGOTIATN CNFLCT RES,A,Lect,18,22,82%,6.83,4.61,4.78,4.67,4.44,4.72,4.78,4.61,4.56,4.67
Fall,2016,ELAINE HYDER,BA,70321,NEGOTIATN CNFLCT RES,A,Lect,12,28,43%,8.08,4.33,3.83,4.17,3.5,4,4.17,4.42,3.83,3.75
Spring,2016,TAE WAN KIM,BA,70332,BUS SOCIETY & ETHICS,A,Lect,51,60,85%,5.54,4.82,4.73,4.76,4.69,4.82,4.71,4.57,4.67,4.67
Fall,2016,DAVID TUNGATE,BA,70332,BUS SOCIETY & ETHICS,A,Lect,31,56,55%,7.52,4.26,4.48,4.32,3.52,4.48,4.48,4.52,4.29,4.03
Spring,2016,TAE WAN KIM,BA,70332,BUS SOCIETY & ETHICS,B,Lect,50,56,89%,4.94,4.92,4.74,4.78,4.82,4.92,4.68,4.88,4.74,4.66
Fall,2016,DAVID TUNGATE,BA,70332,BUS SOCIETY & ETHICS,B,Lect,13,31,42%,6.91,4,4.15,4,3.15,4.23,4.23,4.46,4.08,4.15
Spring,2016,DAVID GRAY,BA,70332,BUS SOCIETY & ETHICS,W,Lect,19,26,73%,12.11,4.5,4.61,4.39,4.11,4.5,4.5,4.39,4.44,4.28
Fall,2016,DAVID GRAY,BA,70332,BUS SOCIETY & ETHICS,W,Lect,15,20,75%,12,4.4,4.73,4.6,4.07,4.6,4.67,4.47,4.67,4.67
Spring,2016,PARAM SINGH,BA,70339,INFO TCHNGY FINANCE,A,Lect,14,21,67%,7.08,4.57,4.64,4.57,4.43,4.57,4.64,4.57,4.5,4.5
Fall,2016,PARAM SINGH,BA,70339,INFO TCHNGY FINANCE,A,Lect,8,19,42%,6.5,4.75,4.38,4.5,4.38,4.63,4.63,5,4.5,4.63
Spring,2016,CLARA BURKE,BA,70340,BUSINESS COMMUNCTNS,A,Lect,21,23,91%,6.65,4.52,4.24,4.1,4.33,4.33,4.19,4.48,4.25,3.71
Fall,2016,CLARA BURKE,BA,70340,BUSINESS COMMUNCTNS,A,Lect,24,25,96%,7.25,3.63,2.96,3.33,3.83,3.83,3.3,3.29,3.33,3.46
Fall,2016,CLARA BURKE,BA,70340,BUSINESS COMMUNCTNS,B,Lect,19,24,79%,7.26,4.63,4,4.37,4.11,4.58,4.42,4.47,4.26,4.11
Spring,2016,CLARA BURKE,BA,70340,BUSINESS COMMUNCTNS,C,Lect,14,18,78%,5.92,4.29,4,4.07,3.64,4.21,4.36,4.57,4.07,3.71
Fall,2016,V.EMILY STARK,BA,70340,BUSINESS COMMUNCTNS,C,Lect,15,26,58%,7.14,4.73,4.33,4.6,4.53,4.73,4.33,4.6,4.33,4.27
Spring,2016,V.EMILY STARK,BA,70340,BUSINESS COMMUNCTNS,D,Lect,12,23,52%,8.5,4.92,4.75,4.92,4.92,4.92,5,4.75,5,4.83
Fall,2016,V.EMILY STARK,BA,70340,BUSINESS COMMUNCTNS,D,Lect,15,22,68%,8.27,4.6,4.47,4.33,4.6,4.47,4.47,4.67,4.6,4.13
Spring,2016,CLARA BURKE,BA,70340,BUSINESS COMMUNCTNS,F,Lect,12,13,92%,5.25,4.17,3.83,3.92,4.08,4,4.25,4.42,4.17,3.92
Fall,2016,J MCGINNIS,BA,70340,BUSINESS COMMUNCTNS,W,Lect,11,19,58%,17.45,4,3.5,3.73,3.45,4.09,3.82,3.91,3.73,3.82
Fall,2016,J MCGINNIS,BA,70340,BUSINESS COMMUNCTNS,X,Lect,7,18,39%,18.29,4,4.71,4.57,4.43,4.29,4,4.43,3.86,4.14
Fall,2016,ROBERT KRAUT,BA,70341,ORG COMMUNICATION,A,Lect,2,5,40%,8,2.5,2,2.5,3.5,3.5,3,3.5,3,2
Spring,2016,JOHN HOOKER,BA,70342,MANAGE ACRSS CLTURES,A,Lect,25,56,45%,5.24,4.36,4,4.32,3.84,4.4,4.24,4.28,4.21,4.2
Fall,2016,BENJAMIN COLLIER,BA,70342,MANAGE ACRSS CLTURES,A,Lect,28,57,49%,5.21,4.14,3.96,4.11,3.61,4,4.11,4.46,4,4.04
Spring,2016,JOHN HOOKER,BA,70342,MANAGE ACRSS CLTURES,B,Lect,27,71,38%,4,4.48,4.59,4.7,4.3,4.56,4.59,4.52,4.48,4.44
Spring,2016,BENJAMIN COLLIER,BA,70342,MANAGE ACRSS CLTURES,W,Lect,18,20,90%,7.29,4.44,4.06,4.33,3.89,4.56,4.56,4.78,4.39,4.28
Spring,2016,EVELYN PIERCE,BA,70345,BUSINESS PRSNTATIONS,A,Lect,5,18,28%,7.4,5,5,5,4.25,5,5,5,5,5
Fall,2016,JULIA DEEMS,BA,70345,BUSINESS PRSNTATIONS,A,Lect,11,20,55%,6.91,4.82,4.45,4.64,4.91,4.82,4.64,4.82,4.64,4.64
Spring,2016,EVELYN PIERCE,BA,70345,BUSINESS PRSNTATIONS,B,Lect,15,21,71%,6.5,5,5,5,4.93,5,4.93,5,5,5
Fall,2016,JULIA DEEMS,BA,70345,BUSINESS PRSNTATIONS,B,Lect,8,17,47%,5,4.88,4.88,4.88,4.88,4.88,4.88,4.75,4.63,4.38
Spring,2016,EVELYN PIERCE,BA,70345,BUSINESS PRSNTATIONS,C,Lect,15,20,75%,6,5,5,5,5,5,5,5,5,5
Fall,2016,CLARA BURKE,BA,70345,BUSINESS PRSNTATIONS,C,Lect,16,19,84%,6.31,4.44,4.13,4.31,4.31,4.44,4.31,4.38,4.31,4.44
Spring,2016,JULIA DEEMS,BA,70345,BUSINESS PRSNTATIONS,D,Lect,7,18,39%,6.71,4.86,4.43,4.57,5,4.71,4.57,4.86,4.71,4.57
Fall,2016,RONALD PLACONE,BA,70345,BUSINESS PRSNTATIONS,D,Lect,9,10,90%,7.57,5,5,4.89,4.89,5,5,5,5,4.89
Spring,2016,J MCGINNIS,BA,70345,BUSINESS PRSNTATIONS,W,Lect,14,19,74%,9.15,4.5,4.5,4.57,4.5,4.43,4.36,4.21,4.57,4.64
Spring,2016,J MCGINNIS,BA,70345,BUSINESS PRSNTATIONS,X,Lect,15,19,79%,9.87,4.27,3.93,4.33,4.13,4.53,4.13,4.07,4.13,4.27
Fall,2016,J MCGINNIS,BA,70348,CROSS CULT BUSINESS,W,Lect,7,10,70%,8.86,5,4.71,4.71,4.71,4.86,4.86,4.86,5,4.86
Fall,2016,ANTHONY STANTON,BA,70349,COLOR REPRO MGMT,A,Lect,14,27,52%,7,4.57,4.43,4.07,4.07,4.57,4.5,4.71,4.5,4.23
Spring,2016,GEOFFREY HITCH,BA,70350,ACTING FOR BUSINESS,A,Lect,6,19,32%,4,4.5,4.17,3.8,4.33,3.83,3.83,2.5,3.67,4
Fall,2016,GEOFFREY HITCH,BA,70350,ACTING FOR BUSINESS,A,Lect,7,18,39%,5.43,4.86,4.57,4.57,4.86,4.29,4.71,3.71,4.29,4.71
Spring,2016,GEOFFREY HITCH,BA,70350,ACTING FOR BUSINESS,B,Lect,14,22,64%,4.57,4.93,4.93,5,4.93,4.79,4.85,4.43,4.86,4.79
Fall,2016,GEOFFREY HITCH,BA,70350,ACTING FOR BUSINESS,B,Lect,4,18,22%,5,4.25,4,4.25,4.25,4.5,4.5,4,4,4
Spring,2016,GEOFFREY HITCH,BA,70350,ACTING FOR BUSINESS,C,Lect,13,21,62%,6.15,4.54,4.46,4.54,4.62,4.23,4.46,4.08,4.46,4.46
Spring,2016,GEOFFREY HITCH,BA,70352,BUSINESS ACTING,W4,Lect,14,16,88%,7.15,5,4.93,4.86,5,4.86,5,5,5,5
Spring,2016,JAMES ROBERTS,BA,70364,BUSINESS LAW,A,Lect,9,20,45%,11.11,4.22,4.67,4.67,3.44,4,4.33,4.89,4.11,4
Fall,2016,DAVID TUNGATE,BA,70364,BUSINESS LAW,A,Lect,21,39,54%,6,3.95,4.1,4.1,3.1,4.4,4,3.95,3.85,3.75
Fall,2016,CLIFFORD EARLY,BA,70365,INT TRADE & INT LAW,A,Lect,9,18,50%,7.57,4.11,3.33,3,2.67,3.89,3.44,3.44,3.56,3.33
Spring,2016,DAVID TUNGATE,BA,70366,INTEL PROPRTY & ECOM,A4,Lect,25,58,43%,5.24,4.52,4.64,4.8,4.04,4.84,4.88,4.63,4.64,4.56
Spring,2016,MUSTAFA AKAN,BA,70371,OPERATIONS MGMT,A,Lect,28,42,67%,7.46,4.39,4.46,4.61,4.11,4.43,4.32,4.79,4.25,4.04
Fall,2016,MUSTAFA AKAN,BA,70371,OPERATIONS MGMT,A,Lect,30,55,55%,6.24,4.21,4.21,4.41,3.59,4.28,4.17,4.62,4.03,4.03
Fall,2016,MUSTAFA AKAN,BA,70371,OPERATIONS MGMT,B,Lect,26,61,43%,5.81,4.42,4.31,4.5,3.73,4.35,4.42,4.77,4.15,4.08
Summer,2016,LEELA NAGESWARAN,BA,70371,OPERATIONS MGMT,S,Lect,13,14,93%,8.58,4.46,4.69,4.58,4.54,4.38,4.46,4.54,4.46,4.38
Spring,2016,SHAM KEKRE,BA,70371,OPERATIONS MGMT,W,Lect,18,25,72%,7,4.28,4.17,4.11,3.83,4.33,4.44,4.67,4.22,4.28
Spring,2016,DOKYUN LEE,BA,70374,DATA MINING BUS ANLY,A,Lect,27,31,87%,7.52,4.59,4.3,4.33,4.3,4.85,4.67,4.81,4.48,4.37
Fall,2016,JEROME APT,BA,70376,ENERGY SYSTEMS,A,Lect,21,27,78%,7.71,4.71,3.71,4.38,3.67,4.7,4.62,4.62,4.43,4.38
Spring,2016,HUI LI,BA,70381,MARKETING I,A,Lect,30,69,43%,6.1,3.93,3.93,3.83,3.4,3.83,3.53,4.23,3.6,3.5
Fall,2016,GUOFANG HUANG,BA,70381,MARKETING I,A,Lect,35,70,50%,6.24,4,3.79,3.94,3.76,3.97,3.73,4.35,3.74,3.62
Spring,2016,HUI LI,BA,70381,MARKETING I,B,Lect,39,67,58%,5.15,3.82,3.74,3.64,3.31,3.87,3.72,4.15,3.47,3.45
Fall,2016,GUOFANG HUANG,BA,70381,MARKETING I,B,Lect,39,69,57%,6.75,3.95,3.92,3.82,3.82,3.92,3.85,4.36,3.67,3.69
Spring,2016,EMIN CIVI,BA,70381,MARKETING I,W,Lect,20,25,80%,6.58,4.45,3.8,3.95,4.45,4.2,3.8,4.85,3.85,3.75
Fall,2016,PETER STUETTGEN,BA,70381,MARKETING I,W,Lect,25,29,86%,13.2,4.72,4.76,4.64,4.32,4.56,4.76,4.44,4.68,4.8
Fall,2016,JOHN GASPER,BA,70386,APLD BHVRL DEC MK BS,W1,Lect,8,8,100%,8.75,5,4.75,4.88,4.63,4.88,4.75,5,4.88,4.63
Spring,2016,CHRIS TELMER,BA,70391,FINANCE,A,Lect,61,63,97%,10.22,4.61,4.46,4.52,4.03,4.74,4.18,4.66,4.26,4.18
Fall,2016,CHRIS TELMER,BA,70391,FINANCE,A,Lect,63,65,97%,10.44,4.52,4.44,4.54,3.97,4.63,4.29,4.44,4.27,4.29
Fall,2016,CHRIS TELMER,BA,70391,FINANCE,B,Lect,51,54,94%,9.49,4.67,4.65,4.73,4.14,4.76,4.6,4.53,4.37,4.31
Fall,2016,MUHAMMAD FAROOQI,BA,70391,FINANCE,W,Lect,15,21,71%,10.07,4.73,4.47,4.27,4.47,4.8,4.53,4.87,4.53,4.47
Fall,2016,MUHAMMAD FAROOQI,BA,70391,FINANCE,X,Lect,17,18,94%,6.88,4.76,4.12,4.18,3.94,4.53,4.35,4.76,4.53,4.41
Fall,2016,STEPHEN BOLLINGER,BA,70395,FUNDING ENTREP VENTR,A,Lect,19,33,58%,5.79,4.16,4.16,4.37,3.95,4.53,4.21,3.11,4.05,4.11
Fall,2016,SIDNEY THOMAS EMERSON,BA,70395,FUNDING ENTREP VENTR,W,Lect,10,19,53%,4.7,4.1,3.7,3.9,3.9,4.1,3.9,4.8,3.8,3.7
Spring,2016,JOSE EMILIO OSAMBELA ZAVALA,BA,70398,INTERNATNL FINANCE,B,Lect,27,33,82%,8.33,4.37,4.07,4.15,3.37,4.26,4.19,4.59,4,3.81
Spring,2016,DAVID LAMONT,BA,70401,MANAGEMENT GAME,A,Lect,21,39,54%,13.33,4.33,4.19,4.24,4,4.48,4.19,4.67,4.24,4.19
Fall,2016,DAVID LAMONT,BA,70401,MANAGEMENT GAME,A,Lect,33,53,62%,12.27,4.45,4.33,4.48,4.21,4.48,4.12,4.61,4.27,4.3
Spring,2016,STEPHEN VARGO,BA,70401,MANAGEMENT GAME,W,Lect,25,40,62%,13.68,4.64,4.56,4.48,4.48,4.52,4.68,4.8,4.56,4.56
Fall,2016,"MAWHINNEY, D. (co-taught)",BA,70414,ENTREPSHP FOR ENGRS,A,Lect,18,44,41%,7.33,4.67,3.61,4.17,3.72,4.67,4.44,4,4.33,4.44
Fall,2016,"DALEY, R. (co-taught)",BA,70414,ENTREPSHP FOR ENGRS,A,Lect,18,44,41%,7.2,4.59,3.82,4.06,3.88,4.65,4.53,4.47,4.35,4.35
Spring,2016,KATHARINE ANDERSON,BA,70415,INTRO ENTREPRENRSHIP,A,Lect,15,30,50%,7.8,4.07,4,4.07,4.2,4.27,4.07,4.53,4.07,4.13
Fall,2016,HARRIS JONES,BA,70415,INTRO ENTREPRENRSHIP,A,Lect,20,34,59%,7.3,4.55,4.3,4.45,4.7,4.65,4.4,4.9,4.45,4.4
Fall,2016,GEORGE WHITE,BA,70415,INTRO ENTREPRENRSHIP,W,Lect,27,33,82%,8.11,4.96,4.85,4.85,4.89,4.85,4.81,5,4.85,4.93
Spring,2016,DAVID MAWHINNEY,BA,70416,NEW VENTURE CREATION,A,Lect,11,27,41%,8.27,4.82,4.55,4.55,4.45,4.73,4.55,4.45,4.45,4.27
Spring,2016,GEORGE WHITE,BA,70416,NEW VENTURE CREATION,W,Lect,12,14,86%,10.18,5,5,5,5,5,5,5,5,5
Spring,2016,SIDNEY THOMAS EMERSON,BA,70417,TPCS IN ENTREPRNRSHP,W,Lect,4,9,44%,5.75,4.25,4.25,4,4,4,3.75,4.5,3.75,3.75
Fall,2016,"MAWHINNEY, D. (co-taught)",BA,70420,ENTREPSHP SCIENTISTS,A,Lect,13,32,41%,6.85,4.69,3,4.08,3.54,4.85,4.08,3.38,4.23,3.77
Fall,2016,"DALEY, R. (co-taught)",BA,70420,ENTREPSHP SCIENTISTS,A,Lect,13,32,41%,6.36,4,3.45,3.82,3.45,3.91,3.91,4,3.82,3.82
Fall,2016,WILLIAM KAIGLER,BA,70421,ENTREP COMP SCIENT,A,Lect,4,6,67%,5,4.5,4.25,4,4,4.75,4,4.75,4,4.25
Spring,2016,AUSTIN SUDBURY,BA,70422,MANAGERIAL ACCOUNTNG,A,Lect,14,29,48%,8.21,4.71,4.64,4.71,4.36,4.93,4.92,4.93,4.71,4.71
Fall,2016,SIDNEY THOMAS EMERSON,BA,70423,TECH-BASED ENTREPSHP,W,Lect,22,30,73%,5.95,4.36,3.82,4.23,3.91,4.27,4.14,4.73,3.95,3.91
Fall,2016,STEPHEN KAROLYI,BA,70424,CORP FINAN REPTNG,A,Lect,10,19,53%,6.2,4,3.5,3.7,3.2,4.2,3.5,4.6,3.5,3.6
Fall,2016,JOHN OBRIEN,BA,70424,CORP FINAN REPTNG,W,Lect,7,16,44%,8,5,5,4.86,4.71,5,5,5,4.71,4.86
Spring,2016,TIM CUNNINGHAM,BA,70425,ENTRPRSHP CRTV INDSR,A,Lect,10,17,59%,8.1,4,2.4,2.7,3.2,3.7,3.1,3.7,3,3.2
Spring,2016,JING LI,BA,70428,FINANCL STATMNT ANAL,A,Lect,11,30,37%,7.45,4.09,3.91,3.91,4.18,4.09,3.73,4.45,3.82,3.82
Fall,2016,JINGHONG LIANG,BA,70428,FINANCL STATMNT ANAL,A,Lect,12,22,55%,7,4.92,4.75,4.67,4.67,4.83,4.58,4.92,4.67,4.58
Spring,2016,JOHN OBRIEN,BA,70429,ACCTNG FINANC INSTS,W,Lect,5,6,83%,5.6,5,5,5,5,5,5,5,5,5
Spring,2016,MILTON COFIELD,BA,70430,INTERNATNL MGMNT,A,Lect,15,26,58%,8.8,4.07,3.27,3.53,3.8,3.87,3.87,4.13,3.8,3.6
Spring,2016,"SIRBU, M. (co-taught)",BA,70438,COMMERCLZN & INNOVTN,A,Lect,7,11,64%,6.71,3.14,3.29,3.71,2.14,3.43,3.71,3.71,3.14,3.14
Spring,2016,"IMAM, R. (co-taught)",BA,70438,COMMERCLZN & INNOVTN,A,Lect,7,11,64%,7.57,5,4.71,4.86,4.43,4.86,4.86,4.71,4.86,4.71
Spring,2016,DAVID LAMONT,BA,70440,CORPORATE STRATEGY,A,Lect,17,22,77%,5.94,4.76,4.88,4.76,4.71,4.71,4.76,4.88,4.76,4.71
Fall,2016,STARLING HUNTER,BA,70440,CORPORATE STRATEGY,W,Lect,13,18,72%,7.83,4.15,4.08,4,3.38,4.15,4.08,4.69,3.77,3.69
Spring,2016,PARAM SINGH,BA,70443,DGTL MKTG SCL MD STG,A,Lect,9,22,41%,6.67,4,4.11,4.22,4.11,4.67,4.22,4.56,4.22,4.11
Fall,2016,PARAM SINGH,BA,70443,DGTL MKTG SCL MD STG,A,Lect,21,33,64%,6.86,3.81,3.9,3.95,3.75,4.38,4.19,4.29,4,4.05
Spring,2016,SIDNEY THOMAS EMERSON,BA,70448,CEO PERSPECTIVE,W,Lect,8,15,53%,6.13,4.13,3.75,3.88,3.88,4.38,4.25,4.5,4,3.75
Fall,2016,KATHARINE ANDERSON,BA,70449,SOCL ECON INF NETWKS,A,Lect,5,6,83%,6.2,4.6,4.4,4.6,4.4,4.8,4.6,4.4,4.4,4.4
Spring,2016,AJIT SHARMA,BA,70451,MANGEMNT INFRMT SYST,A,Lect,22,35,63%,5.14,4.81,4.24,4.3,4.5,4.64,4.43,4.95,4.41,4.18
Fall,2016,AJIT SHARMA,BA,70451,MANGEMNT INFRMT SYST,A,Lect,27,58,47%,4.44,3.81,3.67,3.59,3.48,3.85,3.63,4.31,3.41,3.33
Spring,2016,AJIT SHARMA,BA,70451,MANGEMNT INFRMT SYST,B,Lect,55,72,76%,5.87,4.6,3.84,3.95,4.29,4.42,3.91,4.87,3.82,3.71
Spring,2016,TRIDAS MUKHOPADHYAY,BA,70451,MANGEMNT INFRMT SYST,W,Lect,26,34,76%,8,4.54,4.23,4.12,4.15,4,4.38,4.96,4.12,3.85
Spring,2016,AJIT SHARMA,BA,70453,BUS TECH FOR CONSLTG,A,Lect,6,13,46%,4.5,4.5,3.17,3.33,3.67,4.17,3.5,4.83,3.5,3.5
Fall,2016,AJIT SHARMA,BA,70453,BUS TECH FOR CONSLTG,A,Lect,5,10,50%,6.2,5,4,4.2,4.4,4.2,4.4,5,4,4
Spring,2016,MAHER HAKIM,BA,70453,BUS TECH FOR CONSLTG,W,Lect,3,5,60%,15.33,5,5,4.67,5,5,5,5,5,5
Spring,2016,WOLFGANG GATTERBAUER,BA,70455,MODRN DATA MANGEMNT,A,Lect,32,36,89%,9.45,4.66,4.42,4.5,4.19,4.56,4.38,4.56,4.22,4.27
