Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2016,"DRILL, E. (co-taught)",BSC,3344,EXPERMNTL BIOCHEMTRY,1,Lect,20,36,56%,16.55,4.7,4.7,4.75,4.75,4.75,4.8,4.75,4.65,4.55
Spring,2016,"VINCENT, A. (co-taught)",BSC,3344,EXPERMNTL BIOCHEMTRY,W,Lect,9,14,64%,16.67,5,4.89,5,4.78,4.89,5,4.78,4.89,4.67
Spring,2016,"YOUNIS, I. (co-taught)",BSC,3344,EXPERMNTL BIOCHEMTRY,W,Lect,9,14,64%,14.11,4.78,4.33,4.56,4.89,4.67,4.56,4.89,4.44,4.67
Spring,2016,EMILY DRILL,BSC,3345,EXPER CEL DEV BIOLGY,A,Lect,6,7,86%,17.5,4.67,4.33,4.33,4.33,4.67,4.83,4.67,4.5,4.33
Spring,2016,CHARLES ETTENSOHN,BSC,3350,DEVELOPMNTL BIOLOGY,A,Lect,7,12,58%,6.71,4.86,4.71,4.71,4.71,4.86,4.86,4.86,4.86,4.86
Fall,2016,MOHAMED BOUAOUINA,BSC,3350,DEVELOPMNTL BIOLOGY,W,Lect,1,2,50%,8,5,5,5,5,5,5,5,5,5
Spring,2016,ANNETTE VINCENT,BSC,3355,STEM CELL ENGINEERNG,W,Lect,2,5,40%,9.5,5,5,5,5,5,5,5,5,5
Fall,2016,ARYN GITTIS,BSC,3362,CELLULAR NEUROSCIENC,A,Lect,34,44,77%,7.27,4.41,4.15,4.18,3.82,4.29,4.18,4.38,4.06,4.09
Spring,2016,SHANNA BOWMAN,BSC,3363,SYSTEMS NEUROSCIENCE,A,Lect,36,48,75%,7.42,4.94,4.86,4.81,4.86,4.86,4.83,4.89,4.78,4.72
Spring,2016,"BRASIER, D. (co-taught)",BSC,3365,NEURAL CORR. LRN MEM,A,Lect,18,18,100%,6.67,4.72,4.22,4.22,4.44,4.61,4.44,4.89,4.5,3.89
Spring,2016,"KUHLMAN, S. (co-taught)",BSC,3365,NEURAL CORR. LRN MEM,A,Lect,18,18,100%,6.76,4.33,3.56,3.56,3.61,4.11,3.83,4.39,3.56,3.61
Fall,2016,DANIEL BRASIER,BSC,3366,BIOCHEM OF THE BRAIN,A,Lect,10,11,91%,7.4,5,4.8,4.6,4.8,4.7,4.8,5,4.8,4.5
Spring,2016,"WAGGONER, A. (co-taught)",BSC,3370,PRINC OF BIOTECH,A,Lect,2,3,67%,3.5,3.5,3.5,3.5,4,4.5,4.5,5,3.5,3.5
Spring,2016,"BRUCHEZ, M. (co-taught)",BSC,3370,PRINC OF BIOTECH,A,Lect,2,3,67%,3.5,4,3.5,3.5,3.5,4.5,3.5,4.5,3.5,3.5
Fall,2016,IHAB YOUNIS,BSC,3380,VIROLOGY,W,Lect,6,8,75%,9.67,5,5,5,5,5,5,5,5,5
Spring,2016,GORDON RULE,BSC,3390,MOLECULAR CELL IMMUN,A,Lect,14,32,44%,8.64,4.93,4.93,4.93,4.86,4.93,5,5,5,4.93
Fall,2016,GORDON RULE,BSC,3390,MOLECULAR CELL IMMUN,W,Lect,14,20,70%,8.92,4.93,4.93,4.93,4.86,4.93,4.86,4.93,5,5
Spring,2016,NATALIA HILLER,BSC,3391,MICROBIOLOGY,A,Lect,4,10,40%,7.25,5,5,5,4.75,5,5,5,5,5
Fall,2016,BECKI CAMPANARO,BSC,3401,UNDGRAD COLLQM SENRS,A,Lect,1,3,33%,2,3,3,3,3,3,3,3,3,3
Fall,2016,AARON MITCHELL,BSC,3410,SP TPCS IN BIOLOGY,A2,Lect,12,13,92%,4,4.83,4.75,4.75,4.5,4.92,4.5,4.58,4.42,4.58
Spring,2016,DANIEL BRASIER,BSC,3410,SP TPCS IN BIOLOGY,A3,Lect,8,8,100%,6.5,4.88,4.38,4.5,4.88,4.63,4.63,5,4.75,4.25
Spring,2016,MOHAMED BOUAOUINA,BSC,3412,TOPICS IN RESEARCH,W,Lect,4,7,57%,2,5,5,5,5,5,5,5,5,5
Fall,2016,JASON DANTONIO,BSC,3435,CANCER BIOLOGY,A,Lect,16,20,80%,7.8,4.63,4.69,4.56,4.5,4.88,4.69,4.44,4.63,4.75
Fall,2016,JOHN WOOLFORD,BSC,3442,MOLECULAR BIOLOGY,A,Lect,7,11,64%,6.71,5,4.71,4.57,4.86,4.71,4.71,4.86,4.86,4.71
Spring,2016,IHAB YOUNIS,BSC,3442,MOLECULAR BIOLOGY,W,Lect,2,3,67%,8,5,5,5,5,5,5,5,5,5
Fall,2016,"ETTENSOHN, C. (co-taught)",BSC,3451,ADV DEV BIO HUM HLTH,A,Lect,2,5,40%,9.5,5,4.5,5,4.5,5,5,5,5,5
Fall,2016,"MCCARTNEY, B. (co-taught)",BSC,3451,ADV DEV BIO HUM HLTH,A,Lect,2,5,40%,9.5,5,5,5,4,5,5,5,5,5
Fall,2016,M DURAND,BSC,3511,GENOMICS & MOLEC BIO,A,Lect,3,4,75%,10,5,4.67,4.67,4.67,5,5,5,5,4.67
Fall,2016,RUSSELL SCHWARTZ,BSC,3512,CPTL MTH BIO MDL SIM,A,Lect,1,2,50%,8,4,5,5,5,5,5,5,5,5
Fall,2016,FREDERICK LANNI,BSC,3534,BIO IMG & FLR SPECTR,A,Lect,1,6,17%,8,5,5,5,5,5,5,5,5,5
Spring,2016,JOE SUHAN,BSC,3620,TECH ELEC MICROSCOPY,A,Lect,3,3,100%,7,5,5,5,5,5,5,5,5,5
Fall,2016,SHOBA SUBRAMANIAN,BSC,3709,APP CELL MOLC BIOLGY,1,Lect,23,23,100%,10.77,4.61,4.57,4.57,4.3,4.43,4.43,4.57,4.43,4.32
Fall,2016,M DURAND,BSC,3711,GENOMICS & MOLEC BIO,A,Lect,4,5,80%,8.75,5,5,5,5,4.75,5,5,5,5
Fall,2016,RUSSELL SCHWARTZ,BSC,3712,CPTL MTH BIO MDL SIM,A,Lect,6,9,67%,14.2,4.17,4.17,4.33,4.17,4,4.33,4.5,4.17,4.17
Spring,2016,CHARLES MCMANUS,BSC,3713,BIOINFMTCS DATA PRAC,A4,Lect,8,15,53%,9.13,4.75,4.63,4.63,4.88,4.38,4.25,5,4.75,4.38
Fall,2016,VERONICA HINMAN,BSC,3726,EVLN REGULY GENOMICS,A1,Lect,3,7,43%,8,4.67,5,4.33,4.67,4.33,4.67,5,4.67,3.67
Spring,2016,"WOOLFORD, J. (co-taught)",BSC,3730,ADVANCED GENETICS,A,Lect,5,7,71%,8,5,4.8,4.8,4.8,4.8,4.8,5,5,4.8
Spring,2016,"MITCHELL, A. (co-taught)",BSC,3730,ADVANCED GENETICS,A,Lect,5,7,71%,8,4.8,4.8,4.8,4.8,4.8,4.8,4.6,4.8,4.8
Spring,2016,DAVID HACKNEY,BSC,3740,ADV BIOCHEMISTRY,A,Lect,3,7,43%,11,4.33,4,4.33,4.33,4.33,4,5,4,4
Spring,2016,"LEE, C. (co-taught)",BSC,3741,ADV CELL BIOLOGY,A,Lect,4,8,50%,9.5,4.5,4.75,4.25,4.25,4.25,4.5,4.5,4.25,4.5
Spring,2016,"MCCARTNEY, B. (co-taught)",BSC,3741,ADV CELL BIOLOGY,A,Lect,4,8,50%,9,4.25,4,4.5,4,4,4.25,4.75,4.25,4.25
Spring,2016,"LINSTEDT, A. (co-taught)",BSC,3741,ADV CELL BIOLOGY,A,Lect,4,8,50%,9,4.5,4.5,4.5,4.5,4.5,4.5,4.75,4.75,4.5
Spring,2016,"PUTHENVEEDU, M. (co-taught)",BSC,3741,ADV CELL BIOLOGY,A,Lect,4,8,50%,9.5,4.75,4.75,4.5,4.75,4.75,5,4.5,4.75,4.75
Fall,2016,JOHN WOOLFORD,BSC,3742,MOLECULAR BIOLOGY,1,Lect,5,8,62%,14.2,5,5,5,5,5,5,5,5,5
Fall,2016,ALISON BARTH,BSC,3747,PPSL PREP PEER REV,A2,Lect,5,7,71%,5,5,4.8,4.4,4.6,4.8,4.8,4.8,5,4.6
Fall,2016,"ETTENSOHN, C. (co-taught)",BSC,3751,ADV DEV BIO HUM HLTH,A,Lect,4,6,67%,9.5,5,4.75,5,5,5,5,4.75,4.75,4.75
Fall,2016,"MCCARTNEY, B. (co-taught)",BSC,3751,ADV DEV BIO HUM HLTH,A,Lect,4,6,67%,9.5,5,4.75,4.75,4.75,5,5,5,5,5
Fall,2016,AARON MITCHELL,BSC,3756,GRAD INDEP STUDY,A2,Lect,9,9,100%,5.67,4.78,4.78,4.78,4.33,4.78,4.78,4.89,4.78,4.78
Fall,2016,"GITTIS, A. (co-taught)",BSC,3762,ADV CELLULAR NEUROSC,A,Lect,16,30,53%,4.06,4.25,4.13,4.06,3.94,4.31,3.69,4.38,3.75,3.8
Fall,2016,"CHEETHAM, C. (co-taught)",BSC,3762,ADV CELLULAR NEUROSC,A,Lect,16,30,53%,5.6,4.63,4.81,4.56,4.38,4.38,4.25,5,4.5,4.44
Spring,2016,SANDRA KUHLMAN,BSC,3763,ADV SYS NEUROSCIENCE,A,Lect,13,26,50%,6.38,4.62,4.38,4.54,3.77,4.69,4.46,4.83,4.54,4.46
Spring,2016,"BRASIER, D. (co-taught)",BSC,3765,ADV NEURAL CORR. LRN,A,Lect,4,4,100%,5.75,4.5,4.25,4.5,4.25,4.5,4.25,4.5,4.5,4.5
Spring,2016,"KUHLMAN, S. (co-taught)",BSC,3765,ADV NEURAL CORR. LRN,A,Lect,4,4,100%,5.75,4,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
Spring,2016,"WAGGONER, A. (co-taught)",BSC,3770,PRINC OF BIOTECH,A,Lect,3,5,60%,14.5,4,4.33,4.33,3.67,4.33,4,4,3.67,4.33
Spring,2016,"BRUCHEZ, M. (co-taught)",BSC,3770,PRINC OF BIOTECH,A,Lect,3,5,60%,17.67,4.67,5,5,4.67,4.67,5,5,5,4.33
Spring,2016,"MITCHELL, A. (co-taught)",BSC,3791,ADV MICROBIO,1,Lect,8,12,67%,7.63,4.88,4.75,4.88,5,5,4.88,4.57,4.75,4.75
Spring,2016,"HILLER, N. (co-taught)",BSC,3791,ADV MICROBIO,1,Lect,8,12,67%,7.63,5,5,5,5,5,4.88,5,5,5
Spring,2016,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,13,Lect,16,35,46%,8,4,3.88,3.81,3.56,3.56,3.69,3.94,3.56,3.25
Spring,2016,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,14,Lect,17,28,61%,11.65,3.94,4.06,3.82,3.59,3.53,3.82,4,3.65,3.59
Summer,2016,CAROLYN NEIDERLANDER,CMY,9101,INTRO EXPERMNTL CHEM,E,Lect,1,2,50%,8,5,5,5,5,5,5,5,5,5
Summer,2016,CAROLYN NEIDERLANDER,CMY,9101,INTRO EXPERMNTL CHEM,U,Lect,3,6,50%,6,4.67,4.33,4.33,4,4.33,3.33,4.67,4,4
Spring,2016,"MURPHY, T. (co-taught)",CMY,9101,INTRO EXPERMNTL CHEM,W4,Lect,7,7,100%,8.5,4.5,4.5,4.33,4.17,4.33,4.17,4.67,4.5,4.33
Spring,2016,"BACHU, R. (co-taught)",CMY,9101,INTRO EXPERMNTL CHEM,W4,Lect,7,7,100%,7,4.43,4.57,4.57,4.14,4.29,4.57,4.57,4.71,4.86
Fall,2016,LEONARD VUOCOLO,CMY,9103,ATOMS MOL CHEM CHNG,1,Lect,9,17,53%,8.78,3.56,3.67,3.67,2.89,3.67,3.33,4,3,3
Spring,2016,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,66,102,65%,10.23,3.76,3.71,3.75,3.18,3.37,3.35,4.05,3.29,3.29
Fall,2016,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,111,171,65%,10.57,3.81,3.93,4.03,3.43,3.7,3.67,3.81,3.48,3.41
Fall,2016,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,2,Lect,73,129,57%,10.41,3.92,4.23,4.21,3.37,3.78,3.75,3.99,3.63,3.52
Summer,2016,CHARLES HENDERSON,CMY,9105,INTRO MOD CHEMSTRY I,E,Lect,6,10,60%,9.5,4.67,4.17,4.17,4.33,4.5,3.83,4.83,4.17,4.17
Summer,2016,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,S,Lect,8,8,100%,12.63,4.63,4.38,4.5,4,4.5,4.25,4.63,4.25,3.88
Summer,2016,CHARLES HENDERSON,CMY,9105,INTRO MOD CHEMSTRY I,U,Lect,3,9,33%,10,5,4,4,4.33,5,4.67,5,4.33,4.67
Fall,2016,RAVICHANDRA BACHU,CMY,9105,INTRO MOD CHEMSTRY I,W,Lect,16,22,73%,10.56,4.87,4.87,4.73,4.67,4.67,4.93,4.87,4.87,4.6
Spring,2016,DAVID YARON,CMY,9106,MODERN CHEMISTRY II,1,Lect,64,116,55%,7.97,3.89,3.72,3.72,3.47,3.66,3.33,4.38,3.33,3.41
Fall,2016,GARY PATTERSON,CMY,9106,MODERN CHEMISTRY II,1,Lect,55,82,67%,6.81,4.33,3.45,3.51,3.69,4.04,3.33,3.53,3.36,3.53
Spring,2016,"MURPHY, T. (co-taught)",CMY,9106,MODERN CHEMISTRY II,W,Lect,13,15,87%,13.15,4.46,3.92,4.08,3.77,4.46,3.92,4.23,4.08,4.15
Spring,2016,"BACHU, R. (co-taught)",CMY,9106,MODERN CHEMISTRY II,W,Lect,13,15,87%,12.58,4.46,4.46,4.31,3.85,4.31,4.46,4.85,4.31,4.38
Fall,2016,NEWELL WASHBURN,CMY,9107,HONORS CHEMISTRY,1,Lect,28,49,57%,9.04,4.32,4.21,4.21,4.14,4.5,4.39,4.82,4.25,4.29
Fall,2016,GLORIA SILVA,CMY,9108,ILLUSION MAGIC FOOD,A1,Lect,11,19,58%,4.73,4.18,3.82,3.82,4.18,4,3.64,4.18,3.82,3.55
Fall,2016,SUBHA DAS,CMY,9109,KTCHEN CHEMTRY SESSN,A1,Lect,9,13,69%,4.67,4.56,4.67,4.56,4.22,4.67,4.67,4.56,4.44,4.44
Fall,2016,GLORIA SILVA,CMY,9122,MLCR TLS BLG CMY STD,1,Lect,8,11,73%,7.63,4.13,3.13,3.75,3.63,4,4,4.63,3.63,3.75
Spring,2016,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,A,Lect,9,13,69%,5.33,4,3.56,3.56,3.56,3.22,3.33,3.56,3.33,2.89
Spring,2016,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,B,Lect,9,10,90%,3,4.22,4.44,4.33,4.22,4,4.11,4.67,4,3.44
Spring,2016,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,C,Lect,5,11,45%,3.8,3.8,3.4,3.2,3,3.4,3.8,4.4,3.6,2.8
Fall,2016,GIZELLE SHERWOOD,CMY,9207,TECH QUANT ANAL,1,Lect,44,65,68%,12.57,4.05,3.5,3.73,3.55,3.73,3.61,3.66,3.64,3.45
Fall,2016,RAVICHANDRA BACHU,CMY,9207,TECH QUANT ANAL,W,Lect,13,16,81%,15.38,4.17,4.08,3.92,3.46,4,4.31,4.38,3.92,3.69
Fall,2016,SUBHA DAS,CMY,9209,KITCHEN CHMSTY SESSN,A1,Lect,5,8,62%,5.6,4.4,4.2,4,3.4,4.4,3.6,4.8,4.2,4.4
Spring,2016,GIZELLE SHERWOOD,CMY,9214,PHYSICAL CHEMISTRY,1,Lect,6,10,60%,8.6,4.67,4.83,4.33,4.67,4.17,4.67,5,4.5,4.17
Fall,2016,GIZELLE SHERWOOD,CMY,9214,PHYSICAL CHEMISTRY,A,Lect,5,7,71%,9.2,4.4,4,4,4.6,4.4,4.4,4.6,4.4,4.4
Fall,2016,GLORIA SILVA,CMY,9217,ORGANIC CHEMISTRY I,1,Lect,78,153,51%,9.29,4.32,4.55,4.52,4.03,4.33,4.33,4.58,4.29,4.28
Summer,2016,GLORIA SILVA,CMY,9217,ORGANIC CHEMISTRY I,S,Lect,14,28,50%,13.71,4.93,4.93,4.79,4.57,4.64,4.71,4.79,4.93,4.86
