Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Feedback to students,6: Importance of subject,7: Explains subject matter ,8: Show respect for students,9: Overall teaching,10: Overall course,,,,,,,,,,,
Spring,2016,MEHRDAD MASSOUDI,BMD,42647,CONTNM BIOMCHC,A,Lect,3,7,43%,7,4.33,4.67,4.33,4.67,4.33,4,4.67,4,4,,,,,,,,,,,
Spring,2016,KEITH COOK,BMD,42648,CARDIO MECH,1,Lect,4,7,57%,12.75,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,KEITH COOK,BMD,42648,CARDIO MECH,A,Lect,3,7,43%,11.33,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,HOWARD EDINGTON,BMD,42661,SURG FOR ENG,A,Lect,30,71,42%,4.57,4.6,4.7,4.6,4.37,4.63,4.63,4.83,4.57,4.7,,,,,,,,,,,
Spring,2016,GUSTAVO ROHDE,BMD,42663,COMP METH BME,A,Lect,9,14,64%,8.67,4.11,4.11,3.89,3.67,4.33,4.11,4.78,3.67,3.89,,,,,,,,,,,
Spring,2016,PHIL CAMPBELL,BMD,42702,ADV PHYSIOLOGY,A,Lect,9,17,53%,7.38,4.78,4.78,4.78,4.33,4.89,4.78,4.89,4.56,4.67,,,,,,,,,,,
Spring,2016,GE YANG,BMD,42731,BIOIMAGE INFORMATICS,A,Lect,4,6,67%,14.25,4,4,4.5,4.5,4.5,4.5,4.25,4,4,,,,,,,,,,,
Spring,2016,JOHN GALEOTTI,BMD,42735,MEDICAL IMAGE ANALYS,A,Lect,7,7,100%,11.14,4.86,4.71,4.71,4.43,4.86,4.71,5,4.57,4.57,,,,,,,,,,,
Spring,2016,JAMES ANTAKI,BMD,42744,MEDICAL DEVICES,A,Lect,10,17,59%,10.5,4.8,4.2,4.5,3.7,4.7,4.5,4.5,4.4,4.6,,,,,,,,,,,
Spring,2016,JAMES THOMPSON,CEE,12100,INTRO CIV & ENV ENG,A,Lect,71,81,88%,6.56,3.66,3.51,3.66,3.24,3.85,3.76,3.24,3.27,3.13,,,,,,,,,,,
Spring,2016,JAMES KILBURG,CEE,12201,GEOLOGY,A,Lect,17,38,45%,6.06,4.59,4.53,4.47,4.12,4.71,4.41,4.65,4.29,4.12,,,,,,,,,,,
Spring,2016,SARAH CHRISTIAN,CEE,12216,ST: RESEARCH SKILLS,A,Lect,2,2,100%,2,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,KRISTEN KURLAND,CEE,12600,AUTOCAD,A4,Lect,36,37,97%,3.29,4.14,4.47,4.42,4.11,4.31,4.5,4.47,4.31,4.31,,,,,,,,,,,
Spring,2016,GREG CERMINARA,CEE,12604,TRANSPORTATN ENGNRNG,A,Lect,10,24,42%,8,3.9,3.9,4.1,3.8,4.7,4.3,4.3,4,4.1,,,,,,,,,,,
Spring,2016,THOMAS LEECH,CEE,12620,ST: ENGRNG MECHANICS,A,Lect,10,12,83%,7.4,4.6,4.3,4.4,4.4,4.3,3.9,4.9,3.8,3.8,,,,,,,,,,,
Spring,2016,JAMES THOMPSON,CEE,12631,STRUCTURAL DESIGN,A,Lect,6,6,100%,14.17,5,5,4.67,4.33,4.83,4.67,4.33,4.67,4.67,,,,,,,,,,,
Spring,2016,SARAH CHRISTIAN,CEE,12638,ST BEHAV STRUCT SYS,A,Lect,6,7,86%,9,4.83,3.33,3.83,3.5,4.5,4.17,4.83,4.17,4,,,,,,,,,,,
Spring,2016,JARED COHON,CEE,12657,WTR RESOURCE SYS ENG,A,Lect,23,29,79%,9.19,4.48,4.48,4.57,4.3,4.52,4.61,4.65,4.35,4.35,,,,,,,,,,,
Spring,2016,DAVID DZOMBAK,CEE,12690,INDEPENDENT STUDY,B,Lect,2,3,67%,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,"LIU, X. (co-taught)",CEE,12711,BIM ENG CONS FAC MGM,A,Lect,27,32,84%,9.81,4.22,4.26,4.15,3.96,4.26,4.15,4.7,4.07,3.92,,,,,,,,,,,
Spring,2016,"YEOH, K. (co-taught)",CEE,12711,BIM ENG CONS FAC MGM,A,Lect,27,32,84%,9.04,4.44,4.08,4.08,3.96,4.12,4.16,4.64,4.08,3.84,,,,,,,,,,,
Spring,2016,"LIU, X. (co-taught)",CEE,12711,BIM ENG CONS FAC MGM,B,Lect,21,29,72%,8.15,4.05,3.81,3.76,3.67,3.86,3.95,4.43,3.86,3.62,,,,,,,,,,,
Spring,2016,"YEOH, K. (co-taught)",CEE,12711,BIM ENG CONS FAC MGM,B,Lect,21,29,72%,8.33,4.1,3.8,3.75,3.8,3.85,3.8,4.5,4.1,3.6,,,,,,,,,,,
Spring,2016,GWEN DIPIETRO,CEE,12714,ENV LFE CYC ASSMNT,A,Lect,18,23,78%,12.94,4.17,4.06,3.94,4.22,3.94,3.78,4.44,3.83,3.72,,,,,,,,,,,
Spring,2016,ATHANASIOS KARAMALIDIS,CEE,12718,EESS PROJECT,A,Lect,17,23,74%,10.29,4.24,3.94,4.06,4.24,4,4,4.76,3.82,3.88,,,,,,,,,,,
Spring,2016,KELVIN GREGORY,CEE,12724,BIOLGL WASTWTR MANGM,A,Lect,14,18,78%,11.21,4,4,4,3.71,4.43,4.07,4.57,4,3.86,,,,,,,,,,,
Spring,2016,PETER ADAMS,CEE,12726,MATH MDL ENV QUA SY,A,Lect,20,25,80%,11.2,4.65,4.63,4.63,4.42,4.65,4.65,4.75,4.75,4.65,,,,,,,,,,,
Spring,2016,RICHARD WICE,CEE,12728,REMEDTN ENG,A,Lect,24,30,80%,8.5,3.96,4.13,4,3.71,4.21,4,4.54,3.92,3.83,,,,,,,,,,,
Spring,2016,GREGORY LOWRY,CEE,12730,SP TPC: ENVNL NANTCH,A,Lect,15,20,75%,10.4,4.27,4.07,4,3.87,4.27,4.07,4.67,3.93,3.93,,,,,,,,,,,
Spring,2016,MATTEO POZZI,CEE,12735,SP TPC URBN SYS MODG,A,Lect,14,16,88%,13.5,4.5,4.5,4.36,4.64,4.5,4.43,4.79,4.5,4.54,,,,,,,,,,,
Spring,2016,SUSAN FINGER,CEE,12745,AIS PROJECT,A,Lect,8,14,57%,9.5,4.25,4,4.13,4.25,4.25,4.13,4.5,4.25,4.13,,,,,,,,,,,
Spring,2016,CONSTANTINOS SAMARAS,CEE,12749,ST: CLIM CHGE ADAPT,A4,Lect,32,40,80%,7.63,4.47,4.69,4.44,4.31,4.66,4.56,4.75,4.5,4.41,,,,,,,,,,,
Spring,2016,"COFFELT, D. (co-taught)",CEE,12750,INFRASTRUCTURE MGMT,A,Lect,20,22,91%,9.42,4.25,4.35,4.35,4.15,4.4,4.25,4.65,4.15,4.15,,,,,,,,,,,
Spring,2016,"QIAN, Z. (co-taught)",CEE,12750,INFRASTRUCTURE MGMT,A,Lect,20,22,91%,9.95,4.21,4.32,4.21,4.16,4.26,4.16,4.53,4.21,4.26,,,,,,,,,,,
Spring,2016,JACOBO BIELAK,CEE,12755,FINITE ELEM MECH I,A,Lect,10,15,67%,12.6,4.6,4.6,4.8,4.7,4.7,4.7,4.9,4.7,4.7,,,,,,,,,,,
Spring,2016,HAE YOUNG NOH,CEE,12761,ST SENS DATA MINING,A,Lect,11,13,85%,12,4.64,4.45,4.64,4.55,4.55,4.45,4.82,4.27,4.27,,,,,,,,,,,
Spring,2016,KELLY KLIMA,CEE,12765,INT CLM ADP INN CRTL,A3,Lect,16,29,55%,7.81,3.56,3.63,3.56,3.69,3.81,3.75,4.44,3.69,3.38,,,,,,,,,,,
Spring,2016,AMIT ACHARYA,CEE,12782,ST PLASTICITY DISLOC,A,Lect,4,4,100%,8,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,GREGORY LOWRY,CEE,12794,GRADUATE SEMINAR,A,Lect,12,36,33%,2,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,,,,,,,,,,,
Spring,2016,SUSAN FINGER,CEE,12794,GRADUATE SEMINAR,B,Lect,12,18,67%,6.3,5,4.83,4.83,4.83,4.67,4.5,4.92,4.83,4.73,,,,,,,,,,,
Spring,2016,AMIT ACHARYA,CEE,12794,GRADUATE SEMINAR,C,Lect,7,10,70%,2,4.43,4.57,4.43,4.43,4.43,4.43,4.43,4.43,4.43,,,,,,,,,,,
Spring,2016,DAVID DZOMBAK,CEE,12794,GRADUATE SEMINAR,D,Lect,73,108,68%,2.3,4.45,4.45,4.44,4.35,4.45,4.48,4.61,4.48,4.45,,,,,,,,,,,
Spring,2016,DAVID DZOMBAK,CEE,12796,ST: COMM RESEARCH,A4,Lect,6,14,43%,5.75,4.5,4.67,4.83,4.17,4.83,4.67,4.83,4.67,4.67,,,,,,,,,,,
Spring,2016,SUSANA STEPPAN,CHE,6100,INTRO TO CHEM ENGR,1,Lect,26,33,79%,8.52,4.23,4.08,4.12,3.73,4.08,3.85,4.35,3.92,3.88,,,,,,,,,,,
Spring,2016,MYUNG JHON,CHE,6261,FLUID MECHANICS,A,Lect,34,79,43%,10.41,3.47,3.74,3.62,3.35,3.97,3.56,3.55,3.65,3.67,,,,,,,,,,,
Spring,2016,ADITYA KHAIR,CHE,6262,MATH MTHDS CHEM ENGR,A,Lect,36,77,47%,9.42,4.61,4.56,4.56,4.31,4.53,4.39,4.69,4.25,4.28,,,,,,,,,,,
Spring,2016,KATHRYN WHITEHEAD,CHE,6361,UNIT OP CHEMICAL ENG,A,Lect,49,62,79%,7.27,4.69,4.61,4.65,4.16,4.78,4.69,4.51,4.63,4.63,,,,,,,,,,,
Spring,2016,LYNN WALKER,CHE,6363,TRANSPORT PROCSS LAB,1,Lect,32,59,54%,9.5,4.06,3.59,3.75,3.72,3.94,3.5,3.9,3.59,3.5,,,,,,,,,,,
Spring,2016,MICHAEL DOMACH,CHE,6364,CHEMCL REACTION ENGN,A,Lect,39,62,63%,7.21,3.49,2.69,2.62,2.82,3.23,2.23,4.03,2.38,2.44,,,,,,,,,,,
Spring,2016,"DONAHUE, N. (co-taught)",CHE,6460,ST: CLIMATE FOR CHE,A,Lect,5,9,56%,5.6,4.8,4,4,4.6,5,4.6,5,4.4,4,,,,,,,,,,,
Spring,2016,"GROSSMANN, I. (co-taught)",CHE,6460,ST: CLIMATE FOR CHE,A,Lect,5,9,56%,5.75,4.8,4.2,4,4.4,5,4.8,5,4.4,4.2,,,,,,,,,,,
Spring,2016,CHRYSANTHOS GOUNARIS,CHE,6462,OPTM MDG & ALGRTHMS,A3,Lect,32,60,53%,8.19,4.75,4.41,4.41,4.19,4.41,4.45,4.53,4.47,4.44,,,,,,,,,,,
Spring,2016,CHRYSANTHOS GOUNARIS,CHE,6463,CHEMICAL PRDT DESIGN,A4,Lect,25,60,42%,8.36,4.52,4.32,4.36,4.44,4.28,4.08,4.6,4.52,4.2,,,,,,,,,,,
Spring,2016,MARK DAICHENDT,CHE,6464,CHML ENG PROCESS CNT,A,Lect,24,54,44%,15.88,1.92,1.75,1.71,1.5,1.67,1.5,1.92,1.29,1.42,,,,,,,,,,,
Spring,2016,ROSEMARY FROLLINI,CHE,6466,EXPERMTL POLYMER SCI,A,Lect,1,3,33%,8,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,DENNIS PRIEVE,CHE,6607,PHYS CHEM COLL SURF,A,Lect,17,25,68%,12.06,4.35,4.29,4.35,3.94,4.29,4.24,4.59,4.29,4.18,,,,,,,,,,,
Spring,2016,NIKOLAOS SAHINIDIS,CHE,6611,SPEC TPCS: CS IN CHE,A,Lect,6,10,60%,10,5,4.33,4.5,4.67,4.67,4.33,5,4.67,4.5,,,,,,,,,,,
Spring,2016,JOHN KITCHIN,CHE,6640,PRINC & APP MOLE SIM,A,Lect,11,15,73%,12.36,4,4.09,4,3.91,3.82,3.82,4.27,3.91,3.82,,,,,,,,,,,
Spring,2016,PAUL SIDES,CHE,6663,ANLY & MDG TRNSP PHN,A,Lect,23,38,61%,11.17,3.83,3.65,3.91,3.39,4.04,4,4.13,3.83,3.57,,,,,,,,,,,
Spring,2016,MARK DAICHENDT,CHE,6665,PROCESS SYSTEMS MDLG,A,Lect,22,37,59%,15.73,3.27,3.32,3.32,3.27,3.23,2.82,3.73,2.77,2.82,,,,,,,,,,,
Spring,2016,ANDREW GELLMAN,CHE,6702,ADVANCED KINETICS,A,Lect,7,9,78%,10.29,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,,,,,,,,,,,
Spring,2016,SHELLEY ANNA,CHE,6704,ADV HEAT MASS TRANS,A,Lect,6,11,55%,13,4.83,4.83,4.83,4.67,4.67,4.83,5,4.83,4.83,,,,,,,,,,,
Spring,2016,ANDREW GELLMAN,CHE,6714,SURFCS AND ADSORP,A,Lect,5,5,100%,12.2,4.4,4.4,4.4,4,4.8,4.6,4.8,4.4,4.4,,,,,,,,,,,
Spring,2016,IGNACIO GROSSMANN,CHE,6720,ADV PROC SYS ENGIN,A,Lect,14,18,78%,13.29,4.71,4.86,4.93,4.36,4.93,4.86,5,4.93,4.93,,,,,,,,,,,
Spring,2016,SUSANA STEPPAN,CHE,6777,CPS LAB III,A,Lect,1,2,50%,21,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,SUSANA STEPPAN,CHE,6777,CPS LAB III,B,Lect,3,3,100%,9,4.67,4.67,4.67,4.33,4.33,4,5,4.33,4.33,,,,,,,,,,,
Spring,2016,ANNETTE JACOBSON,CHE,6802,CLDS PLYM SURF LB II,A,Lect,2,3,67%,11,5,4.5,5,4,5,5,5,5,5,,,,,,,,,,,
Spring,2016,ANNETTE JACOBSON,CHE,6802,CLDS PLYM SURF LB II,B,Lect,3,6,50%,12,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,EGON BALAS,CHE,6805,SPC TPC:DISJNTV PROG,A4,Lect,5,9,56%,14.2,4.6,4.4,3.8,4,4.2,4.4,4.8,4.2,4.2,,,,,,,,,,,
Spring,2016,SUSAN FINGER,CIT,39245,RAPID PROTOTYPE DSGN,A,Lect,16,28,57%,5.6,4.88,3.75,3.81,4.06,4.19,4.07,4.88,4.31,3.81,,,,,,,,,,,
Spring,2016,JEFFERY HANSEN,CIT,39606,ENGINEERING DSGN PRJ,A,Lect,6,9,67%,9,3.17,4,4.17,2.5,3.67,3.33,3.5,3.17,3.17,,,,,,,,,,,
Spring,2016,CONSTANTINOS SAMARAS,CIT,39611,ENRY DEMD & UTILZTN,A3,Lect,29,30,97%,7.79,4.66,4.48,4.41,4.28,4.59,4.62,4.76,4.52,4.34,,,,,,,,,,,
Spring,2016,JAY WHITACRE,CIT,39612,ENGY POLICY & ECONMC,A4,Lect,21,24,88%,11,4.14,4.38,4.19,3.71,4.38,4.14,4.71,4.19,4.24,,,,,,,,,,,
Spring,2016,ANNETTE JACOBSON,CIT,39802,COL POLY SUR LAB II,A,Lect,4,6,67%,12.75,4,4.25,4.25,3.75,4.25,4.25,4.25,4.25,4.25,,,,,,,,,,,
Spring,2016,ANNETTE JACOBSON,CIT,39802,COL POLY SUR LAB II,B,Lect,3,5,60%,12,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,SUSANA STEPPAN,CIT,39803,CPS LAB III,A,Lect,1,3,33%,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,THOMAS SULLIVAN,ECE,18100,INTRO ELEC COMP ENG,1,Lect,72,116,62%,10.16,3.9,4.04,4.11,3.63,4.21,3.96,4.37,3.8,3.77,,,,,,,,,,,
Spring,2016,"KAR, S. (co-taught)",ECE,18202,MATH FNDTN ELEC ENGR,1,Lect,48,80,60%,6.43,3.42,3.66,3.53,3.34,3.31,3.35,4.1,3.23,3.5,,,,,,,,,,,
Spring,2016,"LI, X. (co-taught)",ECE,18202,MATH FNDTN ELEC ENGR,1,Lect,48,80,60%,6.5,4.15,4.35,4.25,3.98,4.09,4.17,4.44,4.1,3.88,,,,,,,,,,,
Spring,2016,"GOLDSTEIN, S. (co-taught)",ECE,18213,INTR CMPTR SYSTEMS,1,Lect,31,73,42%,12.73,4.3,4.37,4.43,4,4.66,4.48,4.34,4.31,4.24,,,,,,,,,,,
Spring,2016,"FRANCHETTI, F. (co-taught)",ECE,18213,INTR CMPTR SYSTEMS,1,Lect,31,73,42%,12.48,4.27,4.13,4.03,3.77,4.33,4.1,4.5,4,4.2,,,,,,,,,,,
Spring,2016,"WELDON, J. (co-taught)",ECE,18220,ELETRONC DEVC ANL CR,1,Lect,36,84,43%,8.83,4.22,4.19,4.36,3.81,4.11,4.08,4.42,3.97,3.81,,,,,,,,,,,
Spring,2016,"KELLY, S. (co-taught)",ECE,18220,ELETRONC DEVC ANL CR,1,Lect,36,84,43%,8.75,4.33,4.14,4.25,3.81,4.17,4.14,4.44,4.11,3.86,,,,,,,,,,,
Spring,2016,"THOMAS, D. (co-taught)",ECE,18240,STRC DES DIGTL SYSTM,1,Lect,83,83,100%,12.29,4.62,4.77,4.78,4.29,4.71,4.68,4.76,4.49,4.41,,,,,,,,,,,
Spring,2016,"NACE, W. (co-taught)",ECE,18240,STRC DES DIGTL SYSTM,1,Lect,83,83,100%,12.2,4.77,4.78,4.9,4.46,4.8,4.83,4.76,4.75,4.49,,,,,,,,,,,
Spring,2016,"STERN, R. (co-taught)",ECE,18290,SIGNALS & SYSTEMS,1,Lect,46,93,49%,15.42,4.2,3.85,3.67,3.78,4.11,3.61,4.35,3.67,3.35,,,,,,,,,,,
Spring,2016,"SANKARANARAYANAN, A. (co-taught)",ECE,18290,SIGNALS & SYSTEMS,1,Lect,46,93,49%,15.26,4.17,4.09,4.11,3.98,4.07,4.2,4.35,4.13,3.63,,,,,,,,,,,
Spring,2016,DAVID GREVE,ECE,18310,FUND SEMICONDTOR DEV,1,Lect,6,12,50%,8,3.5,3.5,3.33,3,3.83,3.83,4.17,3.83,3.5,,,,,,,,,,,
Spring,2016,JEYANANDH PARAMESH,ECE,18320,MICROELECTC CURCUITS,1,Lect,15,21,71%,12.07,4.47,4.13,4.27,3.87,4.73,4.33,4.13,4.2,4.07,,,,,,,,,,,
Spring,2016,RONALD BLANTON,ECE,18340,DIGITAL COMPUTATION,TA,Lect,2,4,50%,12.5,4,4.5,4,2.5,3.5,3.5,4,3.5,2.5,,,,,,,,,,,
Spring,2016,HYONG KIM,ECE,18345,INTR TELECOM NETWRKS,1,Lect,4,8,50%,9.5,4.25,3,3.25,2.75,4.75,4.25,4.25,4,3.25,,,,,,,,,,,
Spring,2016,PHILIP KOOPMAN,ECE,18348,EMBEDDED SYSTEMS ENG,1,Lect,32,69,46%,12.75,4.78,4.88,4.88,4.5,4.88,4.94,4.78,4.81,4.75,,,,,,,,,,,
Spring,2016,JOVAN ILIC,ECE,18372,FNDMTL ELECTR PWR SY,A,Lect,4,9,44%,6.5,4.75,3.75,3.75,3.75,4.25,4,5,4,3.75,,,,,,,,,,,
Spring,2016,JAMES BAIN,ECE,18402,APPLIED ELECTRODYNMC,A,Lect,3,3,100%,10,5,4.33,4.33,4.33,5,4.67,4.67,4.67,4.67,,,,,,,,,,,
Spring,2016,ELIAS TOWE,ECE,18411,COMP TECHNIQUES ENG,A,Lect,2,2,100%,11,4,3.5,3.5,2.5,3.5,3.5,4,3.5,3,,,,,,,,,,,
Spring,2016,JOVAN ILIC,ECE,18418,ELEC ENERGY PROCESS,1,Lect,1,2,50%,21,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,JAMES HOE,ECE,18447,INTRO COMPUTER ARCH,1,Lect,22,51,43%,15.64,4.64,4.41,4.41,4.09,4.68,4.32,4.64,4.27,4.41,,,,,,,,,,,
Spring,2016,JOSEPH HIBEY,ECE,18474,EMBED CONTROL SYSTMS,A,Lect,3,7,43%,7,4.33,2.67,2,2.67,3.33,2,4.33,2.67,2,,,,,,,,,,,
Spring,2016,VIJAYAKUMAR BHAGAVATULA,ECE,18491,FNDML SIGNL PRCSNG,1,Lect,28,37,76%,11.89,4.68,4.71,4.54,4.54,4.32,4.44,4.79,4.54,4.46,,,,,,,,,,,
Spring,2016,TAMAL MUKHERJEE,ECE,18510,SENSOR SYSTEMS DESGN,1,Lect,5,9,56%,11,4.8,4,4.8,4.6,4.8,4.8,5,4,4.2,,,,,,,,,,,
Spring,2016,KENNETH MAI,ECE,18525,INTEGR CIRC DES PROJ,A,Lect,3,9,33%,11,3.67,3,3,3.33,4.33,3.67,3.67,3.67,3.33,,,,,,,,,,,
Spring,2016,"SIEWIOREK, D. (co-taught)",ECE,18540,RAPID PROTOTYPING,1,Lect,2,9,22%,11,4.5,4.5,5,5,5,4.5,5,5,5,,,,,,,,,,,
Spring,2016,"SMAILAGIC, A. (co-taught)",ECE,18540,RAPID PROTOTYPING,1,Lect,2,9,22%,11,4.5,4.5,5,5,5,4.5,5,5,5,,,,,,,,,,,
Spring,2016,WILLIAM NACE,ECE,18545,ADV DIGITAL DES PROJ,GZ,Lect,6,6,100%,14.67,4,4.5,4.5,3.5,4.33,3.67,5,4.5,4,,,,,,,,,,,
Spring,2016,ANTHONY ROWE,ECE,18549,EMBEDDED SYSTMS DESN,A,Lect,25,88,28%,11.63,4.2,3.96,3.88,3.88,4.16,4.08,4.12,3.92,3.92,,,,,,,,,,,
Spring,2016,"SAVVIDES, M. (co-taught)",ECE,18551,DG CM & SIG PR SY DE,1,Lect,5,5,100%,12.5,3.8,4,4,4,4.6,4.6,4.4,4,4,,,,,,,,,,,
Spring,2016,"SULLIVAN, T. (co-taught)",ECE,18551,DG CM & SIG PR SY DE,1,Lect,5,5,100%,12.5,4.4,4.6,4.6,4.4,4.4,4.6,4.4,4.4,4,,,,,,,,,,,
Spring,2016,JOHN DOLAN,ECE,18578,MECHATRONIC DESIGN,1,Lect,8,15,53%,17.63,4,4.13,4.13,4.13,4.5,4.5,4.5,4.13,3.63,,,,,,,,,,,
Spring,2016,EDWARD ENGLER,ECE,18601,ENTRPRSHP INNV TCHNL,A,Lect,11,14,79%,8.64,4.82,4.64,4.82,4.82,4.91,4.64,4.82,4.82,4.82,,,,,,,,,,,
Spring,2016,GIANLUCA PIAZZA,ECE,18615,MICRO NANO SYS FAB,1,Lect,12,18,67%,11,4.33,4.17,4.17,4.42,4.5,4.5,4.67,4.5,4.42,,,,,,,,,,,
Spring,2016,ANDRZEJ STROJWAS,ECE,18625,ULSI MOBILE PLATFORM,A,Lect,11,14,79%,9.5,4.64,4.64,4.64,4.64,4.55,4.36,4.73,4.45,4.36,,,,,,,,,,,
Spring,2016,NICOLAS CHRISTIN,ECE,18631,INTR INFO SECURITY,A,Lect,8,12,67%,9.5,4.75,4.63,4.75,4.5,4.75,4.63,4.75,4.63,4.63,,,,,,,,,,,
Spring,2016,NICOLAS CHRISTIN,ECE,18631,INTR INFO SECURITY,RW,Lect,1,2,50%,11,4,4,4,4,5,5,5,4,4,,,,,,,,,,,
Spring,2016,KENNETH MAI,ECE,18632,INTO HARDWARE SECUR,A,Lect,10,19,53%,6.33,4,3,3.6,3.5,4.2,4.2,4.5,4.1,3.6,,,,,,,,,,,
Spring,2016,PATRICK TAGUE,ECE,18637,WIRELESS NTWK SECRTY,SV,Lect,5,5,100%,13.6,4.8,4.6,4.8,4.6,4.8,4.8,4.8,4.8,4.8,,,,,,,,,,,
Spring,2016,SUKHJIT SINGH,ECE,18641,JAVA SMART PHN DEVLP,A,Lect,39,52,75%,13.87,3.47,3.42,3.54,3.76,3.89,3.71,3.87,3.55,3.63,,,,,,,,,,,
Spring,2016,MARY BISHOP,ECE,18641,JAVA SMART PHN DEVLP,RW,Lect,3,3,100%,16,5,4.67,4.67,4.33,5,5,5,4.33,4.67,,,,,,,,,,,
Spring,2016,SUKHJIT SINGH,ECE,18641,JAVA SMART PHN DEVLP,SV,Lect,45,56,80%,14.62,3.13,2.96,3.42,3.27,3.4,3.36,3.51,3,3.24,,,,,,,,,,,
Spring,2016,"LANE, I. (co-taught)",ECE,18645,HOW TO WRT FAST CODE,TA,Lect,16,29,55%,11.38,3.69,3.81,3.81,3.56,3.81,3.75,3.94,3.69,3.69,,,,,,,,,,,
Spring,2016,"CHONG, J. (co-taught)",ECE,18645,HOW TO WRT FAST CODE,TA,Lect,16,29,55%,11.64,3.44,3.81,3.81,3.25,3.63,3.69,3.75,3.5,3.56,,,,,,,,,,,
Spring,2016,"LANE, I. (co-taught)",ECE,18645,HOW TO WRT FAST CODE,TS,Lect,24,31,77%,13.39,3.73,3.91,4.04,3.74,3.87,3.87,3.96,3.7,3.83,,,,,,,,,,,
