Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 8,1 : Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Feedback to students,6: Importance of subject,7: Explains subject matter ,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2016,CHRIS BRUSSALIS,HC,94808,MANAGEMENT CONSLTG,A,Lect,14,21,67%,,8.86,4.79,4.86,4.86,4.57,4.79,4.64,4.86,4.64,4.64
Spring,2016,DAVID LASSMAN,HC,94811,STRATEGY DEVELOPMENT,A3,Lect,23,25,92%,,6.22,4.74,4.65,4.57,4,4.7,4.61,4.73,4.7,4.52
Spring,2016,TIMOTHY ZAK,HC,94811,STRATEGY DEVELOPMENT,B4,Lect,16,23,70%,,8.27,4.56,4.56,4.56,4.25,4.38,4.63,4.75,4.38,4.19
Spring,2016,LAURA SYNNOTT,HC,94813,PROJECT MANAGEMENT,A3,Lect,23,24,96%,,10.65,4.78,4.78,4.61,4.22,4.7,4.65,4.74,4.7,4.57
Spring,2016,LAURA SYNNOTT,HC,94813,PROJECT MANAGEMENT,B3,Lect,22,23,96%,,8.71,4.77,4.59,4.68,4.55,4.91,4.82,4.86,4.77,4.55
Spring,2016,CANZATA CASTLEBERRY-SINGLETON,HC,94821,DVSTY MNGMT INTG LDS,A3,Lect,12,16,75%,,5.25,4.67,3.83,4.5,3.5,4.75,4.25,4.5,4.17,4.08
Spring,2016,ARI LIGHTMAN,HC,94823,MSMNT ANL SCL MDA IN,A,Lect,28,39,72%,,8.36,4.46,4.21,4.25,4.39,4.54,4.46,4.54,4.5,4.36
Spring,2016,MARY SLAUGHTER,HC,94827,SAS FOR PUBLIC POLCY,A4,Lect,12,17,71%,,8.27,3.75,3.92,3.83,3.75,3.91,3.5,4.25,3.42,3.5
Spring,2016,MARY SLAUGHTER,HC,94827,SAS FOR PUBLIC POLCY,B4,Lect,21,27,78%,,7.57,3.14,3.62,3.57,2.86,3.29,3.1,4.19,3.05,2.95
Spring,2016,CLAUDE SETODJI,HC,94830,ANALYSIS SURVEY DATA,A4,Lect,22,26,85%,,8.41,4.27,3.82,3.67,3.55,4.09,3.68,4.36,3.68,3.45
Spring,2016,BEIBEI LI,HC,94832,BUSN INTLG DTA MNG,A3,Lect,21,34,62%,,9.17,4.29,4.19,4.24,3.71,4.52,4.14,4.57,4.33,4
Spring,2016,BEIBEI LI,HC,94832,BUSN INTLG DTA MNG,B3,Lect,24,38,63%,,8.95,4.17,4.29,4.25,3.96,4.33,4.17,4.78,4.04,3.91
Spring,2016,AKSHAYA JHA,HC,94834,APPL ECONOMETRICS I,A3,Lect,22,33,67%,,8,4.23,4.09,3.91,3.9,4.05,3.71,4.62,3.71,3.91
Spring,2016,AKSHAYA JHA,HC,94834,APPL ECONOMETRICS I,B3,Lect,28,32,88%,,9.31,3.96,3.57,3.46,3.39,3.71,3.64,4.56,3.46,3.57
Spring,2016,CIPRIAN DOMNISORU,HC,94835,APPL ECONOMETRICS II,A4,Lect,15,15,100%,,9,4.67,4.8,4.73,4.6,4.87,4.73,4.8,4.73,4.73
Spring,2016,DARRYL BISHOP,HC,94838,INTRO TO RASTER GIS,A3,Lect,13,17,76%,,5.46,4,3.69,3.54,3.62,3.83,3.46,4.46,3.46,3.31
Spring,2016,SEAN AMMIRATI,HC,94840,LEAN ENTRPRNSHP,A3,Lect,33,46,72%,,5.75,4.3,4.39,4.33,3.67,4.64,4.45,4.52,4.3,4.27
Spring,2016,OLEXANDRA CHOULDECHOVA,HC,94842,PROGRMG R ANALYTICS,A3,Lect,22,35,63%,,11.32,4.36,4.55,4.36,4.05,4.32,4.27,4.5,4.23,4
Spring,2016,BRETT CRAWFORD,HC,94843,RSH SM ARTS MNG TCH,A,Lect,9,10,90%,,7.67,4.78,4.78,4.67,4.22,4.44,4.44,4.67,4.44,4.56
Spring,2016,"LASSMAN, D. (co-taught)",HC,94854,DEV AS A LEADER,A4,Lect,26,30,87%,,6.04,4.65,4.54,4.58,4.42,4.69,4.54,4.76,4.77,4.77
Spring,2016,"ROUSSEAU, D. (co-taught)",HC,94854,DEV AS A LEADER,A4,Lect,26,30,87%,,6.13,4.73,4.5,4.54,4.38,4.69,4.54,4.85,4.85,4.8
Spring,2016,FOLKE KAFKA,HC,94856,MAN & ENG ECON,1,Lect,1,4,25%,,5,2,1,1,1,3,1,2,1,1
Spring,2016,FOLKE KAFKA,HC,94856,MAN & ENG ECON,A,Lect,1,4,25%,,5,3,2,1,1,2,1,1,1,1
Spring,2016,STEFAN LABASH,HC,94858,COMM COMPLXTY,A3,Lect,14,19,74%,,7.14,4.43,3.14,3.57,3.86,4.21,4,4.36,3.93,3.71
Spring,2016,"MERTZ, J. (co-taught)",ISM,95702,DISTRIBUTED SYSTEMS,A,Lect,41,60,68%,,12.95,4.34,4.24,4.22,4.07,4.22,4.29,4.46,4.24,4.17
Spring,2016,"MCCARTHY, M. (co-taught)",ISM,95702,DISTRIBUTED SYSTEMS,A,Lect,41,60,68%,,13.36,4.17,3.95,4.07,3.9,4.03,4.03,4.3,4.1,4.03
Spring,2016,"MERTZ, J. (co-taught)",ISM,95702,DISTRIBUTED SYSTEMS,B,Lect,31,43,72%,,12.23,4.06,4.13,4.19,4.13,4.13,4.35,4.52,4.13,3.97
Spring,2016,"MCCARTHY, M. (co-taught)",ISM,95702,DISTRIBUTED SYSTEMS,B,Lect,31,43,72%,,11.71,4.06,3.97,4.06,4.07,4,4.13,4.26,4.13,4.03
Spring,2016,"MERTZ, J. (co-taught)",ISM,95702,DISTRIBUTED SYSTEMS,C,Lect,35,44,80%,,12.36,4.14,4.06,4.06,3.83,4.14,4.03,4.34,4.03,3.86
Spring,2016,"MCCARTHY, M. (co-taught)",ISM,95702,DISTRIBUTED SYSTEMS,C,Lect,35,44,80%,,12.58,3.91,3.86,3.89,3.77,4.06,3.83,4.2,3.77,3.8
Spring,2016,JANUSZ SZCZYPULA,ISM,95703,DATABASE MANAGEMENT,K,Lect,22,36,61%,,13.5,4.73,4.77,4.77,4.68,4.82,4.82,4.77,4.77,4.77
Spring,2016,JANUSZ SZCZYPULA,ISM,95703,DATABASE MANAGEMENT,L,Lect,19,33,58%,,14.72,4.68,4.58,4.58,4.42,4.63,4.68,4.68,4.58,4.47
Spring,2016,JANUSZ SZCZYPULA,ISM,95703,DATABASE MANAGEMENT,M,Lect,5,10,50%,,9.8,4.6,4.8,5,5,4.8,5,5,4.8,4.8
Spring,2016,JEREMY SMITH,ISM,95703,DATABASE MANAGEMENT,Z,Lect,25,32,78%,,12,4.24,4.36,4.44,4.08,4.12,4.2,4.72,4.24,4.36
Spring,2016,NEELAM DWIVEDI,ISM,95706,OBJ ORIENTED A & D,A3,Lect,14,23,61%,,8.71,4.14,4.14,4,4.21,4,4.14,4.29,3.71,3.71
Spring,2016,NEELAM DWIVEDI,ISM,95706,OBJ ORIENTED A & D,B4,Lect,18,28,64%,,8.67,4,3.83,4,4.06,4.06,3.94,4.33,3.94,3.78
Spring,2016,CONSTANTINE COIS,ISM,95706,OBJ ORIENTED A & D,C3,Lect,32,49,65%,,9.67,4.44,4.66,4.56,4.22,4.5,4.47,4.56,4.35,4.16
Spring,2016,MURLIKRISHNA VISWANATHAN,ISM,95706,OBJ ORIENTED A & D,K3,Lect,21,30,70%,,14.29,3.7,3.67,3.48,3.52,3.67,3.81,4.71,3.75,3.29
Spring,2016,MURLIKRISHNA VISWANATHAN,ISM,95706,OBJ ORIENTED A & D,L3,Lect,16,28,57%,,11.88,3.88,3.56,3.5,3.44,3.75,3.69,4.19,3.56,3.44
Spring,2016,KAREN CLAY,ISM,95710,ECONOMIC ANALYSIS,A3,Lect,14,22,64%,,7.79,3.64,3.57,3.43,3.29,3.64,3.43,3.71,3.36,3.5
Spring,2016,TIONG LIM,ISM,95710,ECONOMIC ANALYSIS,K3,Lect,26,40,65%,,12.08,4.88,4.77,4.77,4.77,4.69,4.62,4.73,4.73,4.69
Spring,2016,TIONG LIM,ISM,95710,ECONOMIC ANALYSIS,L4,Lect,29,40,73%,,10,4.83,4.59,4.59,4.46,4.79,4.5,4.68,4.39,4.39
Spring,2016,LYNNE PASTOR,ISM,95715,FINANCIAL ACCOUNTING,B3,Lect,9,15,60%,,6,4.44,4.67,4.56,4.33,4.56,4.67,4.67,4.33,4.33
Spring,2016,TIONG LIM,ISM,95715,FINANCIAL ACCOUNTING,K3,Lect,23,36,64%,,11.55,4.78,4.26,4.17,4.48,4.52,4.17,4.7,4.22,4.04
Spring,2016,TIONG LIM,ISM,95715,FINANCIAL ACCOUNTING,L3,Lect,27,35,77%,,12.54,4.7,4.48,4.63,4.37,4.63,4.65,4.7,4.59,4.63
Spring,2016,TIONG LIM,ISM,95715,FINANCIAL ACCOUNTING,M3,Lect,20,34,59%,,9.3,4.9,4.6,4.65,4.6,4.75,4.65,4.8,4.6,4.5
Spring,2016,LYNNE PASTOR,ISM,95715,FINANCIAL ACCOUNTING,Z3,Lect,7,13,54%,,8.86,3.57,3.71,4,2.71,3.71,3.57,3.71,3.29,3.43
Spring,2016,LYNNE PASTOR,ISM,95716,PRINCIPLS OF FINANCE,A4,Lect,14,20,70%,,7.86,4.07,4.5,4.29,3.64,4.14,4.57,4.29,4.07,4.21
Spring,2016,TIONG LIM,ISM,95716,PRINCIPLS OF FINANCE,K4,Lect,24,31,77%,,11.25,4.67,4.58,4.42,4.38,4.54,4.17,4.38,4.26,4.08
Spring,2016,TIONG LIM,ISM,95716,PRINCIPLS OF FINANCE,L4,Lect,26,36,72%,,12.27,4.58,4.54,4.5,4.5,4.69,4.54,4.69,4.54,4.38
Spring,2016,TIONG LIM,ISM,95716,PRINCIPLS OF FINANCE,M4,Lect,27,33,82%,,10.88,4.85,4.74,4.78,4.67,4.85,4.67,4.78,4.81,4.67
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,A3,Lect,8,11,73%,,6.13,4.38,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,B4,Lect,9,12,75%,,5.33,4.22,3.89,4,4.44,4.56,4.33,4.44,4.22,4.13
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,C3,Lect,11,15,73%,,5.27,4.09,3.91,4.09,4.73,4.45,4.09,4.45,4.27,4
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,D4,Lect,6,13,46%,,7,3.67,4,4.17,4,4,3.67,4.5,3.83,3.67
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,E3,Lect,10,15,67%,,7,4.1,4.1,4.1,4.1,4.2,4.1,4.2,4.2,4
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,F4,Lect,13,15,87%,,6.15,4.69,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.62
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,G3,Lect,10,14,71%,,5,4.5,4.3,4.22,4.3,4.4,4.3,4.5,4.5,4.2
Spring,2016,STEFAN LABASH,ISM,95718,PROFESSIONAL SPEAKNG,H4,Lect,8,15,53%,,8,3.88,3.75,3.63,4.25,4,4.13,4.14,4.13,3.75
Spring,2016,ARI LIGHTMAN,ISM,95722,DIGITAL TRANSFORMATN,A3,Lect,15,27,56%,,9.46,4.4,4.53,4.33,4.27,4.47,4.53,4.6,4.47,4.13
Spring,2016,ARI LIGHTMAN,ISM,95722,DIGITAL TRANSFORMATN,B4,Lect,31,37,84%,,9.58,4.61,4.58,4.48,4.32,4.42,4.45,4.71,4.65,4.26
Spring,2016,ARI LIGHTMAN,ISM,95722,DIGITAL TRANSFORMATN,C3,Lect,23,40,58%,,8.91,4.43,4.17,4.09,4.3,4.35,4.3,4.43,4.3,4.17
Spring,2016,ARI LIGHTMAN,ISM,95722,DIGITAL TRANSFORMATN,D4,Lect,16,19,84%,,9.47,4.19,4,4.13,3.94,3.88,4.13,4.31,4.31,4
Spring,2016,RIAZ ESMAIL ZADEH,ISM,95722,DIGITAL TRANSFORMATN,L3,Lect,21,31,68%,,13.24,4.76,4.65,4.7,4.65,4.8,4.8,4.85,4.8,4.65
Spring,2016,RIAZ ESMAIL ZADEH,ISM,95722,DIGITAL TRANSFORMATN,L4,Lect,11,17,65%,,12.27,4.91,4.73,4.82,4.82,4.73,4.64,4.82,4.55,4.45
Spring,2016,RIAZ ESMAIL ZADEH,ISM,95722,DIGITAL TRANSFORMATN,M3,Lect,18,26,69%,,9.12,4.83,4.44,4.44,4.56,4.56,4.5,4.61,4.56,4.33
Spring,2016,VIBHANSHU ABHISHEK,ISM,95723,MANG DISRUPT TECH,A,Lect,32,51,63%,,7.61,4.59,4.47,4.34,4.31,4.41,4.41,4.55,4.45,4.13
Spring,2016,VIBHANSHU ABHISHEK,ISM,95723,MANG DISRUPT TECH,B,Lect,48,59,81%,,8.6,4.33,4,4.11,4.15,4.34,4.47,4.57,4.37,4.09
Spring,2016,PEDRO FERREIRA,ISM,95723,MANG DISRUPT TECH,C,Lect,36,46,78%,,8.91,3.89,3.63,3.72,3.56,3.74,3.83,4.11,3.53,3.17
Spring,2016,PEDRO FERREIRA,ISM,95723,MANG DISRUPT TECH,D,Lect,34,58,59%,,9.15,3.94,3.85,3.68,3.79,3.85,3.76,4,3.82,3.29
Spring,2016,MICHAEL SMITH,ISM,95732,MKTG DIGITAL MEDIA,A4,Lect,25,25,100%,,6.5,4.88,4.8,4.8,4.6,4.8,4.88,4.92,4.96,4.92
Spring,2016,MICHAEL SMITH,ISM,95732,MKTG DIGITAL MEDIA,B4,Lect,17,18,94%,,5.88,4.94,4.82,4.71,4.41,4.94,4.88,4.94,4.94,4.94
Spring,2016,MICHAEL SMITH,ISM,95732,MKTG DIGITAL MEDIA,C4,Lect,7,8,88%,,7.57,5,4.71,4.71,4.71,4.86,5,5,5,4.86
Spring,2016,MICHAEL MCCARTHY,ISM,95733,INTERNET TCHNOLOGIES,A3,Lect,10,11,91%,,12,4.4,4.1,4.3,4.2,4.3,4.2,4.8,4.2,4.2
Spring,2016,RANDALL TRZECIAK,ISM,95736,ADV REL DATABASE MGT,A3,Lect,11,14,79%,,11.36,4.64,4.27,4.45,4.18,4.55,4.55,4.64,4.45,4.45
Spring,2016,DANIEL COSTA,ISM,95737,NOSQL DATABASE MGT,A4,Lect,25,34,74%,,8.25,4.68,4.76,4.72,4.28,4.72,4.72,4.84,4.6,4.48
Spring,2016,DANIEL COSTA,ISM,95737,NOSQL DATABASE MGT,B3,Lect,40,49,82%,,8.55,4.4,4.52,4.46,4.21,4.38,4.29,4.54,4.28,4.31
Spring,2016,RANDALL TRZECIAK,ISM,95737,NOSQL DATABASE MGT,K4,Lect,20,29,69%,,13.28,4.3,4.25,4.15,3.85,4.25,4.2,4.15,4.15,4.05
Spring,2016,"FOWLER, S. (co-taught)",ISM,95744,INF SEC POL & GOVRN,Z4,Lect,17,24,71%,,7.47,3.35,3.35,3.41,3,3.71,3.59,3.65,3.53,3.06
Spring,2016,"BUTKOVIC, M. (co-taught)",ISM,95744,INF SEC POL & GOVRN,Z4,Lect,17,24,71%,,7.36,3.35,3.35,3.35,2.94,3.65,3.71,3.41,3.59,3.06
Spring,2016,HASAN YASAR,ISM,95748,SOFTWARE & SECURITY,A3,Lect,26,26,100%,,8.5,3.64,3,3.28,3.24,3.8,3.16,4.24,3.04,2.92
Spring,2016,JOSEPH MAYES,ISM,95749,CRYPTOGRAPHY,A4,Lect,17,27,63%,,9.19,4.13,3.81,4.06,3.69,4.19,4,3.81,3.94,3.56
Spring,2016,RANDALL TRZECIAK,ISM,95752,INTRO INFO SEC MGT,Z,Lect,12,19,63%,,10.25,3.33,3.5,3.83,3.33,3.92,3.5,3.92,3.42,3.33
Spring,2016,"SHICK, D. (co-taught)",ISM,95753,INTERNET SECURITY,Z3,Lect,8,15,53%,,8.75,4.75,4.5,4.63,4.63,4.88,4.75,4.88,4.75,4.75
Spring,2016,"LINDNER, M. (co-taught)",ISM,95753,INTERNET SECURITY,Z3,Lect,8,15,53%,,8.75,4.75,4.75,4.75,4.75,4.88,4.88,4.75,4.75,4.75
Spring,2016,"STEVENS, J. (co-taught)",ISM,95755,INF SEC RISK MGT I,A3,Lect,19,25,76%,,5.63,4,3.89,3.79,3.32,4.05,3.89,4.37,3.89,3.68
Spring,2016,"MATTSON, K. (co-taught)",ISM,95755,INF SEC RISK MGT I,A3,Lect,19,25,76%,,5.82,3.4,3.4,3.5,3.1,3.9,3.6,3.8,3.6,3.4
Spring,2016,"STEVENS, J. (co-taught)",ISM,95755,INF SEC RISK MGT I,Z3,Lect,16,22,73%,,7.81,4.31,4.19,4.31,3.81,4.5,4.25,4.53,4.13,4.06
Spring,2016,"MATTSON, K. (co-taught)",ISM,95755,INF SEC RISK MGT I,Z3,Lect,16,22,73%,,7.44,4.13,4,4.13,3.8,4.13,4.07,4.13,3.93,3.87
Spring,2016,"STEVENS, J. (co-taught)",ISM,95756,INO SEC RISK MGT II,A4,Lect,7,11,64%,,7.14,3.71,3.86,4.43,3.86,4.57,4.29,4.71,4.29,4.43
Spring,2016,"MATTSON, K. (co-taught)",ISM,95756,INO SEC RISK MGT II,A4,Lect,7,11,64%,,7.5,4.2,4.2,4.4,3.6,4.2,4.4,4.4,4.25,4.2
Spring,2016,RAHUL TELANG,ISM,95757,INFO SEC POL & MGT,A4,Lect,7,8,88%,,7.57,4.57,4.43,4.43,4.43,4.86,4.57,4.71,4.57,4.57
Spring,2016,JOSEPH MAYES,ISM,95758,NETWK & INTERNET SEC,A,Lect,20,32,63%,,7.68,4.5,4.45,4.25,4.2,4.4,4.2,4.4,4.15,3.95
Spring,2016,STEPHEN ROEHRIG,ISM,95760,DCSN MKG UNCERTAINTY,A4,Lect,27,43,63%,,9.46,4,3.67,3.85,3.63,4.15,3.67,4,3.67,3.74
Spring,2016,STEPHEN ROEHRIG,ISM,95760,DCSN MKG UNCERTAINTY,B4,Lect,24,37,65%,,8.3,4.13,3.67,3.67,3.71,4.13,3.96,3.67,3.79,3.71
Spring,2016,RIAZ ESMAIL ZADEH,ISM,95760,DCSN MKG UNCERTAINTY,K4,Lect,23,38,61%,,12.73,4.3,4.17,4.13,4.09,4.18,3.87,4.43,4.04,4.04
Spring,2016,RIAZ ESMAIL ZADEH,ISM,95760,DCSN MKG UNCERTAINTY,L4,Lect,27,37,73%,,10.19,4.3,4.04,4.07,3.85,4.11,3.85,4.52,3.96,3.89
Spring,2016,MICHAEL MCCARTHY,ISM,95771,DATA STRUC & ALGRTHM,A,Lect,21,33,64%,,10.9,4.29,4.24,4.29,4.24,4.29,4.24,4.52,4.29,4.33
Spring,2016,NEELAM DWIVEDI,ISM,95772,DATA STRUC APPL PRGM,A3,Lect,11,15,73%,,8.27,3.91,3.82,3.64,3.73,3.82,3.82,4.18,3.55,3.55
Spring,2016,KARYN MOORE,ISM,95774,BUSINESS PROCESS MDL,A3,Lect,3,8,38%,,14.33,4.33,4.67,5,4.5,4.33,4.33,4.67,5,4.33
Spring,2016,KARYN MOORE,ISM,95774,BUSINESS PROCESS MDL,B3,Lect,26,32,81%,,11.88,4.73,4.81,4.77,4.73,4.73,4.8,4.92,4.88,4.65
Spring,2016,ARTUR DUBRAWSKI,ISM,95791,DATA MINING,A3,Lect,30,44,68%,,17.67,4.57,4.57,4.57,3.63,4.63,4.53,4.77,4.5,4.47
Spring,2016,OLEXANDRA CHOULDECHOVA,ISM,95791,DATA MINING,B4,Lect,32,38,84%,,13.45,4.72,4.78,4.78,4.75,4.81,4.81,4.84,4.72,4.72
Spring,2016,MURLIKRISHNA VISWANATHAN,ISM,95791,DATA MINING,K4,Lect,29,35,83%,,13.11,4.31,4.17,4.21,4.17,4.28,4.34,4.69,4.1,4.17
Spring,2016,MURLIKRISHNA VISWANATHAN,ISM,95791,DATA MINING,L4,Lect,18,30,60%,,13.76,4.61,4.56,4.56,4.17,4.56,4.44,4.5,4.17,4
Spring,2016,lujiec,ISM,95791,DATA MINING,Z4,Lect,12,17,71%,,16.75,4.58,4.08,4.08,4,4.25,4.25,4.58,4.45,4
Spring,2016,ROBERT BRICHACEK,ISM,95797,DATA WAREHOUSING,A3,Lect,10,22,45%,,8.67,3.1,3.4,3.1,3,3.5,2.8,3.6,2.5,3
Spring,2016,BEIBEI LI,ISM,95797,DATA WAREHOUSING,B3,Lect,22,38,58%,,9.23,4.41,4.27,4.32,4.09,4.41,4.23,4.64,4.23,4
Spring,2016,ANTHONY JENKINS,ISM,95797,DATA WAREHOUSING,Z4,Lect,22,30,73%,,8.14,3.59,3.68,3.82,3.18,3.95,4.1,4.36,3.64,3.55
Spring,2016,DENNIS MOUL,ISM,95799,LINUX & OPEN SOURCE,A4,Lect,34,54,63%,,7.63,4.53,4.71,4.65,4.5,4.62,4.71,4.71,4.59,4.56
Spring,2016,DENNIS MOUL,ISM,95799,LINUX & OPEN SOURCE,K3,Lect,17,23,74%,,13.53,4.82,4.59,4.76,4.71,4.53,4.88,4.82,4.82,4.71
Spring,2016,STACEY SABO,ISM,95807,OBJCT-ORNTD PROG JAV,Z,Lect,8,15,53%,,13.38,3.88,4,3.75,3.63,3.5,3.88,4,3.75,3.88
