Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Feedback to students,6: Importance of subject,7: Explains subject matter ,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2016,JACOB GOESSLING,ENG,76101,INTERPRETN & ARGMNT,D,Lect,11,13,85%,6.64,4.82,4.82,4.55,4.73,4.64,4.64,4.55,4.64,4.45
Spring,2016,RACHEL GOODMANSON,ENG,76101,INTERPRETN & ARGMNT,DD,Lect,14,19,74%,6.5,4.93,4.79,4.93,5,4.86,4.86,4.93,4.93,4.71
Spring,2016,JAMIE SMITH,ENG,76101,INTERPRETN & ARGMNT,E,Lect,18,18,100%,6.83,4.72,4.78,4.72,4.67,4.44,4.61,4.83,4.67,4.78
Spring,2016,RYAN RODERICK,ENG,76101,INTERPRETN & ARGMNT,EE,Lect,18,19,95%,6.83,4.61,4.33,4.33,4.5,4.28,4.39,4.83,4.5,4.28
Spring,2016,LISA AVERY,ENG,76101,INTERPRETN & ARGMNT,FF,Lect,8,15,53%,5.75,3.13,2.75,2.88,2.88,2.88,3,3.38,2.75,2.63
Spring,2016,DANIELLE WETZEL,ENG,76101,INTERPRETN & ARGMNT,H,Lect,9,18,50%,7.67,4.89,4.56,4.44,4.89,4.78,4.89,5,4.56,4.44
Spring,2016,RYAN RODERICK,ENG,76101,INTERPRETN & ARGMNT,HH,Lect,19,19,100%,7.05,4.79,4.63,4.42,4.58,4.74,4.58,4.89,4.58,4.37
Spring,2016,JAMIE SMITH,ENG,76101,INTERPRETN & ARGMNT,I,Lect,20,20,100%,6.65,4.95,4.9,4.95,4.85,4.45,4.75,5,4.8,4.75
Spring,2016,DANIEL DICKSON-LAPRADE,ENG,76101,INTERPRETN & ARGMNT,II,Lect,10,18,56%,5.38,4.6,4.6,4.7,4.6,4.6,4.6,5,4.6,4.4
Spring,2016,AQDAS AFTAB,ENG,76101,INTERPRETN & ARGMNT,J,Lect,17,18,94%,6.24,4.65,4.76,4.65,4.53,4.76,4.53,4.76,4.53,4.53
Spring,2016,JULIANN REINEKE,ENG,76101,INTERPRETN & ARGMNT,JJ,Lect,18,19,95%,6.06,4.89,4.67,4.72,4.67,4.44,4.5,4.94,4.61,4.33
Spring,2016,STEVEN GOTZLER,ENG,76101,INTERPRETN & ARGMNT,K,Lect,15,19,79%,8.2,4.27,4.67,4.53,4.47,4.4,4.53,4.6,4.4,4.4
Spring,2016,PAVITHRA KASUN TANTRIGODA,ENG,76101,INTERPRETN & ARGMNT,KK,Lect,13,19,68%,6.85,4.62,4.69,4.54,4.69,4.54,4.38,5,4.38,4.15
Spring,2016,JULIANN REINEKE,ENG,76101,INTERPRETN & ARGMNT,L,Lect,17,18,94%,6.69,4.88,4.88,4.94,4.88,4.65,4.76,4.82,4.94,4.76
Spring,2016,DANIEL DICKSON-LAPRADE,ENG,76101,INTERPRETN & ARGMNT,LL,Lect,14,19,74%,6.85,4.79,4.57,4.5,4.57,4.57,4.57,4.93,4.79,4.5
Spring,2016,AVERY WISCOMB,ENG,76101,INTERPRETN & ARGMNT,M,Lect,15,17,88%,7.6,4.73,4.87,4.87,4.67,4.87,4.67,5,4.93,4.47
Spring,2016,MARGARET GOSS,ENG,76101,INTERPRETN & ARGMNT,MM,Lect,19,19,100%,6.26,4.58,4.74,4.53,4.53,4.42,4.53,4.68,4.42,4.16
Spring,2016,WILLIAM PENMAN,ENG,76101,INTERPRETN & ARGMNT,NN,Lect,16,18,89%,6.5,4.75,4.81,4.75,4.69,4.69,4.75,4.88,4.69,4.56
Spring,2016,MATTHEW NELSON,ENG,76101,INTERPRETN & ARGMNT,O,Lect,13,18,72%,5.46,4.69,4.62,4.46,4.77,4.54,4.46,4.92,4.69,4.62
Spring,2016,CRAIG STAMM,ENG,76101,INTERPRETN & ARGMNT,P,Lect,17,19,89%,5.88,4.44,4.81,4.56,4.5,4.69,4.75,4.69,4.75,4.63
Spring,2016,MATTHEW LAMBERT,ENG,76101,INTERPRETN & ARGMNT,PP,Lect,14,19,74%,6.71,4.5,4.71,4.64,4.86,4.36,4.43,4.86,4.43,4.36
Spring,2016,STEVEN GOTZLER,ENG,76101,INTERPRETN & ARGMNT,Q,Lect,16,18,89%,8.57,3.94,4.56,4.5,4.38,4.06,4.25,4.38,4.25,3.8
Spring,2016,AVERY WISCOMB,ENG,76101,INTERPRETN & ARGMNT,QQ,Lect,15,18,83%,9,4.8,4.73,4.87,4.53,4.87,4.8,4.67,4.87,4.53
Spring,2016,RYAN MITCHELL,ENG,76101,INTERPRETN & ARGMNT,R,Lect,15,19,79%,10.07,4.13,4,3.93,4.2,3.67,4.13,4.2,4.27,3.47
Spring,2016,JESSICA WILTON,ENG,76101,INTERPRETN & ARGMNT,RR,Lect,7,17,41%,8.43,4.86,4.29,4.71,4.86,4.57,4.29,5,4.86,4.43
Spring,2016,MATTHEW NELSON,ENG,76101,INTERPRETN & ARGMNT,S,Lect,13,20,65%,6.62,4.85,4.77,4.85,4.85,4.85,4.77,4.92,4.92,4.62
Spring,2016,JESSICA WILTON,ENG,76101,INTERPRETN & ARGMNT,SS,Lect,11,17,65%,7.45,4.27,3.82,4,4.18,3.82,3.82,4.64,4.09,3.64
Spring,2016,BRET VUKODER,ENG,76101,INTERPRETN & ARGMNT,TT,Lect,15,19,79%,6.2,4.87,4.93,4.93,4.93,4.87,4.93,5,5,5
Spring,2016,KATE HAMILTON,ENG,76101,INTERPRETN & ARGMNT,U,Lect,13,17,76%,6.38,4.92,4.85,4.69,4.77,4.69,4.77,5,4.69,4.69
Spring,2016,EMILY FERRIS,ENG,76101,INTERPRETN & ARGMNT,UU,Lect,17,18,94%,6.41,4.35,4.24,4.35,4.41,4.12,4.12,4.35,4.25,4.06
Spring,2016,BRET VUKODER,ENG,76101,INTERPRETN & ARGMNT,V,Lect,11,20,55%,6.64,4.91,4.91,4.91,5,4.82,4.91,4.91,5,4.91
Spring,2016,ADAM HODGES,ENG,76101,INTERPRETN & ARGMNT,W,Lect,11,11,100%,14.4,4.55,4.64,4.64,4.09,4.3,4.73,4.73,4.36,4.55
Spring,2016,LUDMILA HYMAN,ENG,76101,INTERPRETN & ARGMNT,WW,Lect,10,17,59%,10.2,5,4.8,4.9,4.9,5,4.9,5,5,4.9
Spring,2016,LUDMILA HYMAN,ENG,76101,INTERPRETN & ARGMNT,X,Lect,12,16,75%,10.08,4.67,4.58,4.58,4.58,4.67,4.67,4.75,4.75,4.67
Spring,2016,THOMAS MITCHELL,ENG,76101,INTERPRETN & ARGMNT,XX,Lect,9,9,100%,10.63,4.44,4.56,4.67,4.33,4.67,4.56,4.56,4.67,4.78
Spring,2016,THOMAS MITCHELL,ENG,76101,INTERPRETN & ARGMNT,Y,Lect,11,15,73%,11.67,4.45,4.64,4.73,4.45,4.27,4.55,4.73,4.45,4
Spring,2016,SILVIA PESSOA,ENG,76101,INTERPRETN & ARGMNT,YY,Lect,15,17,88%,10.53,4.4,4.4,4.2,4.4,4.27,4.33,4.47,4.33,4.33
Spring,2016,SILVIA PESSOA,ENG,76101,INTERPRETN & ARGMNT,Z,Lect,10,13,77%,10.5,4.3,4.4,4.2,4.5,4.22,4.3,4.2,4.4,4.4
Spring,2016,LINDA FLOWER,ENG,76118,FRESHMAN SEMINAR,A,Lect,6,9,67%,6.8,4.5,3.17,3.17,4.17,4,3.67,4.67,3.5,3.33
Spring,2016,ALAN KENNEDY,ENG,76221,BOOKS READ BY NOW,A,Lect,9,21,43%,7.67,2.78,3,3,2.38,3,3,3,2.56,2.67
Spring,2016,RICHARD PURCELL,ENG,76238,MEDIA & FILM STUDIES,A,Lect,8,18,44%,6.13,4.63,4.5,4.75,4.38,4.63,4.63,5,4.63,4.38
Spring,2016,DAVID SHUMWAY,ENG,76239,MEDIA/FILM STUDIES,A,Lect,7,17,41%,8.86,4.29,4,4.14,4.29,4.86,4.86,4.71,4.57,4.57
Spring,2016,KATE HAMILTON,ENG,76241,GENDER STUDIES,A,Lect,11,15,73%,8.55,5,5,5,4.82,5,5,5,5,5
Spring,2016,PEGGY KNAPP,ENG,76245,SHAKESPR HIS & TRAG,1,Lect,20,25,80%,6.8,4.65,3.75,4.05,3.75,4.55,4.2,4.55,4.32,4.25
Spring,2016,NATALIE SUZELIS,ENG,76245,SHAKESPR HIS & TRAG,B,Lect,8,11,73%,5,4.5,4.25,4.25,4.5,4.5,4.38,4.88,4.75,4.25
Spring,2016,ANJALI SACHDEVA,ENG,76260,SURVEY FORMS:FICTION,A,Lect,8,17,47%,5.75,4.5,4.63,4.5,4.13,4.25,4.38,4.75,4.5,4.25
Spring,2016,KEVIN GONZALEZ,ENG,76260,SURVEY FORMS:FICTION,B,Lect,11,18,61%,9.45,4.27,3.82,4.27,4.73,4.27,3.91,4.45,4.18,4
Spring,2016,JANE BERNSTEIN,ENG,76262,SURVEY FORMS: NONFIC,A,Lect,13,15,87%,10,4.77,3.92,4.54,4.62,4.77,4.69,4.85,4.69,4.69
Spring,2016,GERALD COSTANZO,ENG,76265,SURVEY FORMS: POETRY,A,Lect,11,17,65%,4.73,4.64,4.36,4.36,4.55,4.82,4.73,4.73,4.64,4.64
Spring,2016,LAUREN SHAPIRO,ENG,76265,SURVEY FORMS: POETRY,B,Lect,12,16,75%,6.09,4.67,4.75,4.67,4.92,4.75,4.75,4.75,4.58,4.5
Spring,2016,SHARON DILWORTH,ENG,76269,SURVY FRM SCREENWRTG,A,Lect,14,20,70%,7.36,4.29,3.71,4.14,4.07,4.43,4.36,3.93,3.86,4.07
Spring,2016,ANDREW GORDON,ENG,76270,WRITNG FOR PROFESSNS,A,Lect,16,17,94%,7.87,4.81,5,4.94,4.81,4.94,4.94,4.94,4.75,4.75
Spring,2016,ANDREW GORDON,ENG,76270,WRITNG FOR PROFESSNS,B,Lect,16,18,89%,6.5,4.94,5,5,4.88,4.94,4.94,5,4.88,4.81
Spring,2016,GARRETT STACK,ENG,76270,WRITNG FOR PROFESSNS,C,Lect,17,17,100%,6.13,4.47,4.59,4.59,3.94,4.41,4.47,4.41,4.47,4.06
Spring,2016,AMANDA BERARDI,ENG,76270,WRITNG FOR PROFESSNS,D,Lect,16,16,100%,7.63,4.94,4.94,4.88,4.81,4.63,4.88,4.93,4.81,4.56
Spring,2016,KRISTIN SHIMMIN,ENG,76270,WRITNG FOR PROFESSNS,E,Lect,17,17,100%,8.06,5,4.94,4.88,4.94,4.76,4.88,5,4.94,4.71
Spring,2016,CAROLYN COMMER,ENG,76270,WRITNG FOR PROFESSNS,F,Lect,15,18,83%,7.2,4.87,4.8,4.93,4.67,4.6,4.87,5,4.8,4.6
Spring,2016,JOANNA WOLFE,ENG,76270,WRITNG FOR PROFESSNS,G,Lect,10,18,56%,8.9,5,4.9,4.9,5,5,4.7,4.9,4.9,4.7
Spring,2016,JUSTIN MANDO,ENG,76270,WRITNG FOR PROFESSNS,H,Lect,8,17,47%,8.38,4.75,4.75,4.5,4.38,4.25,4.5,4.88,4.5,4
Spring,2016,SUSAN HAGAN,ENG,76270,WRITNG FOR PROFESSNS,W,Lect,13,18,72%,10.38,4.54,4.31,4.54,4.54,4.38,4.54,4.85,4.38,4.42
Spring,2016,SUSAN HAGAN,ENG,76270,WRITNG FOR PROFESSNS,X,Lect,15,17,88%,8.8,4.47,3.8,4,4.53,4.47,4.4,4.87,4.27,3.93
Spring,2016,NECIA WERNER,ENG,76271,INTR PROF TECH WRIT,A,Lect,12,17,71%,8,5,4.58,4.5,4.67,4.83,4.83,5,4.67,4.5
Spring,2016,CHARLENE CASTELLANO,ENG,76297,RUSSIAS DEMONS,A,Lect,2,3,67%,9.5,5,5,5,5,5,5,5,5,5
Spring,2016,GERALD COSTANZO,ENG,76306,EDITING & PUBLISH,A,Lect,2,3,67%,5,5,5,5,5,5,5,5,5,5
Spring,2016,JEFFREY WILLIAMS,ENG,76317,CONTEMP AMRCN FIC,A,Lect,7,12,58%,8,4.43,4.29,4.57,4.57,4.57,4.29,4.71,4.57,4.43
Spring,2016,ANDREEA RITIVOI,ENG,76318,COMM GLOBAL MRKTPLCE,A,Lect,1,10,10%,8,5,5,5,5,5,5,5,5,5
Spring,2016,DUDLEY REYNOLDS,ENG,76318,COMM GLOBAL MRKTPLCE,W,Lect,2,4,50%,8,5,4.5,4,4,4.5,4.5,5,5,4.5
Spring,2016,JOHN ODDO,ENG,76325,INTERTEXTUALITY,A,Lect,8,9,89%,7.57,4.63,4.88,4.5,4.63,4.38,4.75,4.88,4.63,4.5
Spring,2016,JON KLANCHER,ENG,76326,LIT & OTHER DIS,A,Lect,2,4,50%,8,5,5,4.5,5,4.5,5,5,5,5
Spring,2016,RICHARD PURCELL,ENG,76339,MEDIA/FILM STUDIES,A,Lect,2,7,29%,3.5,5,5,5,5,5,5,5,5,5
Spring,2016,BARBARA JOHNSTONE,ENG,76340,AMERICAN ENGLISH,A,Lect,4,8,50%,8,4.75,4.25,4.5,4.25,4.25,4.5,4.75,4.25,4.25
Spring,2016,KATHLEEN NEWMAN,ENG,76342,GENDER STUDIES,A,Lect,14,15,93%,8,4.64,4.71,4.64,4.64,4.71,4.43,4.93,4.64,4.36
Spring,2016,MARIAN AGUIAR,ENG,76353,POSTCOLONIAL STUDIES,A,Lect,4,4,100%,5,5,4.75,5,4.75,5,5,5,5,5
Spring,2016,JANE MCCAFFERTY,ENG,76360,LITRY JOURNLM WRKSHP,A,Lect,9,15,60%,8.38,4.89,4.22,4.56,4.89,4.78,4.56,4.89,4.56,4.56
Spring,2016,CONOR OCALLAGHAN,ENG,76362,READING IN FORMS,A,Lect,7,18,39%,9.71,4.57,4.43,4.57,4.71,5,4.86,4.57,4.57,4.71
Spring,2016,CONOR OCALLAGHAN,ENG,76365,BEGINING POETRY WKSP,A,Lect,1,7,14%,5,3,1,2,4,3,3,2,2,2
Spring,2016,GERARD KLUG,ENG,76368,RPG WRITING WORKSHOP,A,Lect,7,10,70%,13.5,4.29,4.14,4.14,4,4.29,4.43,3.57,3.86,4.43
Spring,2016,"CARSON, J. (co-taught)",ENG,76369,"ART, CONFLICT & TECH",A,Lect,5,10,50%,11.6,4.2,4,4.2,3.6,4.2,4,4.4,4,4.4
Spring,2016,"NOURBAKHSH, I. (co-taught)",ENG,76369,"ART, CONFLICT & TECH",A,Lect,5,10,50%,11.6,3.8,3.6,3.6,3.2,4,4,4.2,3.8,4.2
Spring,2016,"KEATING-MILLER, J. (co-taught)",ENG,76369,"ART, CONFLICT & TECH",A,Lect,5,10,50%,11.6,4.8,4.8,4.8,4.6,4.8,4.8,4.8,4.8,4.4
Spring,2016,JAMES WYNN,ENG,76373,ARGUMENT,A,Lect,10,16,63%,9,4.9,4.9,4.9,4.9,4.8,4.9,4.9,4.8,4.9
Spring,2016,RALPH VITUCCIO,ENG,76374,MEDIATED NARRATIVE,A,Lect,15,18,83%,6,4.87,4.53,4.27,4.47,4.6,4.64,4.93,4.6,4.4
Spring,2016,LINDA FLOWER,ENG,76378,LITERACY: ED THRY PR,A,Lect,6,10,60%,7.25,4,2.67,3,3.67,3.83,2.67,4.5,3.17,3.33
Spring,2016,MARY GLAVAN,ENG,76389,RHETORICAL GRAMMAR,A,Lect,7,12,58%,6.71,4.57,4.57,4.71,4.57,4.43,4.43,4.71,4.57,4
Spring,2016,JOHN ODDO,ENG,76390,STYLE,A,Lect,14,17,82%,7.54,4.79,5,5,4.5,4.86,5,4.93,4.86,4.86
Spring,2016,KRISTINA STRAUB,ENG,76394,RESEARCH IN ENGLISH,A,Lect,4,8,50%,11.75,4.5,4.75,4.75,4.25,4.25,4.25,4.75,4.5,3.75
Spring,2016,MARK ROTH,ENG,76395,SCIENCE WRITING,A,Lect,4,8,50%,6.5,4.25,3.75,3.5,4.25,3.75,3.25,4.25,3.5,3.25
Spring,2016,KRISTINA STRAUB,ENG,76412,18TH CENTURY,A,Lect,3,5,60%,5,4.67,4.33,3.67,4.67,4,4,5,4.33,4
Spring,2016,MARIAN AGUIAR,ENG,76423,GENDER STUDIES,A,Lect,5,8,63%,8.6,4.4,4.4,4.6,3.8,4.8,4.8,4.8,4.8,4.4
Spring,2016,JAMES WYNN,ENG,76425,SCIENCE IN PBL SPHRE,A,Lect,6,7,86%,9,5,4.67,4.5,4.83,4.67,4.5,4.83,4.67,4.5
Spring,2016,KATHLEEN NEWMAN,ENG,76435,20TH CENT AMERICAN,A,Lect,5,5,100%,6.8,5,4.4,4.4,4.8,4.8,4.8,5,5,4.6
Spring,2016,PEGGY KNAPP,ENG,76441,MEDIEVAL LIT,A,Lect,3,3,100%,13,5,4.67,4.33,4.67,4.67,5,5,4.67,4.67
Spring,2016,JEFFREY WILLIAMS,ENG,76452,LTRY & CLTL THEORY,A,Lect,1,4,25%,5,5,5,5,5,5,5,5,5,5
Spring,2016,JANE MCCAFFERTY,ENG,76460,BEGIN FICTION WRKSHP,A,Lect,10,12,83%,7.1,5,4.5,4.6,4.8,4.9,4.9,5,4.8,4.9
Spring,2016,KEVIN GONZALEZ,ENG,76462,ADVNCD FICTN WRKSHP,A,Lect,10,14,71%,10.1,4.5,4.6,4.7,4.7,4.5,4.6,4.4,4.6,4.6
Spring,2016,RALPH VITUCCIO,ENG,76463,THE VISUAL STORY,A,Lect,4,9,44%,5,5,3.25,3.75,4.75,4.75,4.5,5,4.25,4
Spring,2016,LAUREN SHAPIRO,ENG,76465,ADV POETRY WORKSHOP,A,Lect,6,8,75%,7,4.83,4.67,4.67,4.83,4.83,4.5,5,4.83,4.83
Spring,2016,JANE BERNSTEIN,ENG,76469,ADV SCRNWG WRKSHP,A,Lect,1,7,14%,11,4,3,3,3,4,4,2,3,3
Spring,2016,STEPHANIE HUSARIK,ENG,76474,SOFTWR DOCMENTATION,A,Lect,1,4,25%,2,1,1,1,1,1,1,1,1,1
Spring,2016,DOUGLAS COULSON,ENG,76475,LAW PERFORM & IDENT,A,Lect,2,2,100%,11,5,4,4,3,3.5,4,5,4,3
Spring,2016,NECIA WERNER,ENG,76487,WEB DESIGN,1,Lect,1,5,20%,5,5,2,2,3,3,4,5,4,4
Spring,2016,PAUL MAZAITIS,ENG,76487,WEB DESIGN,A,Lect,1,5,20%,2,5,5,5,5,5,5,5,5,5
Spring,2016,SUGURU ISHIZAKI,ENG,76489,ADVANCED DOC & INFO,A,Lect,2,2,100%,8,4.5,4.5,4,5,5,4.5,5,4.5,4.5
Spring,2016,MARIO CASTAGNARO,ENG,76494,HEALTHCARE COMMNCTNS,A,Lect,4,7,57%,6.5,4.75,4.75,4.25,4.25,5,4.75,4.75,4,4.25
Spring,2016,ANDREEA RITIVOI,ENG,76718,COMM GLOBAL MARKTPLC,A,Lect,9,10,90%,7,4.33,3.33,3.67,3.33,4.11,3.78,4,4,3.56
Spring,2016,JOHN ODDO,ENG,76725,INTERTEXTUALITY,A,Lect,10,10,100%,7.1,4.7,4.6,4.5,4.7,4.6,4.7,4.7,4.7,4.3
Spring,2016,BARBARA JOHNSTONE,ENG,76740,AMERICAN ENGLISH,A,Lect,2,2,100%,6.5,4,5,4.5,4,5,5,5,4.5,4
Spring,2016,STEPHANIE HUSARIK,ENG,76774,SOFTWR DOCMENTATION,A,Lect,6,8,75%,6.5,3.5,3.17,3.5,3,3.33,2.67,4.5,3.17,2.67
Spring,2016,LINDA FLOWER,ENG,76778,LITERACY: ED THRY PR,A,Lect,1,2,50%,11,5,3,4,4,5,3,5,4,5
Spring,2016,MARY GLAVAN,ENG,76789,RHETORICAL GRAMMAR,A,Lect,2,2,100%,3.5,5,5,5,5,5,5,5,5,5
Spring,2016,JOHN ODDO,ENG,76790,STYLE,A,Lect,2,2,100%,6.5,5,5,5,5,5,5,5,5,5
Spring,2016,MARIO CASTAGNARO,ENG,76794,HEALTHCARE COMMNCTNS,A,Lect,8,8,100%,7.25,4.38,4.38,4.25,3.63,4.38,3.88,4.75,3.75,3.88
Spring,2016,MARK ROTH,ENG,76795,SCIENCE WRITING,A,Lect,3,4,75%,8,5,4.67,5,5,5,5,5,5,5
Spring,2016,KRISTINA STRAUB,ENG,76812,18TH CENTURY,A,Lect,6,9,67%,9,4.83,4.5,4.67,4.67,4.67,4.5,4.83,4.5,4.5
Spring,2016,MARIAN AGUIAR,ENG,76823,GENDER STUDIES,A,Lect,4,8,50%,7.25,4.75,4.5,4.75,4,4.75,4.5,5,4.75,4
Spring,2016,JAMES WYNN,ENG,76825,SCIENCE IN PBL SPHRE,A,Lect,8,8,100%,8.38,4.63,4.88,4.88,4.5,4.5,4.63,4.63,4.63,4.5
Spring,2016,KATHLEEN NEWMAN,ENG,76835,20TH CENT AMERICAN,A,Lect,8,9,89%,9.13,4.5,4.75,4,4.38,4.63,4.5,4.75,4.5,4.25
Spring,2016,DAVID SHUMWAY,ENG,76837,LTRY & CLTL THEORY,A,Lect,6,7,86%,13,4,4.67,4.17,4.17,4,4.5,4.33,4.33,4.17
Spring,2016,PEGGY KNAPP,ENG,76841,MEDIEVAL LIT,A,Lect,2,3,67%,9.5,5,5,5,5,5,5,5,5,5
Spring,2016,JEFFREY WILLIAMS,ENG,76852,LTRY & CLTL THEORY,A,Lect,7,10,70%,9,4.86,4.86,4.71,5,4.43,4.71,4.86,4.86,4.57
Spring,2016,THOMAS OBOYLE,ENG,76872,TPCS IN OURNALISM,A,Lect,5,5,100%,7.4,5,4.6,4.8,5,5,4.8,4.6,4.6,4.8
